old catholic church;catholic churches that broke away from the roman catholic church in the 18th century
leviathan;monstrous sea creature symbolizing evil in the old testament
amazon;(greek mythology) one of a nation of women warriors of scythia (who burned off the right breast in order to use a bow and arrow more effectively)
gulliver;a fictional englishman who travels to the imaginary land of lilliput (in jonathan swift's gulliver's travels)
federal reserve;the central bank of the us. incorporates 12 federal reserve branch banks and all national banks and stated charted commercial banks and some trust companies
jotunn;(norse mythology) one of a race of giants often in conflict with the aesir
saktism;a hindu sect worshiping shakti
cyclops;(greek mythology) one of a race of giants having a single eye in the middle of their forehead
music school;a school for the study of music
confederacy;a union of political organizations
jewelry dealer;a firm that sells and buys jewelry
nest;a gang of criminals assembled in one place. 'a nest of thieves'
bodyguard;a group of men who escort and protect some important person
seminary;a private place of education for the young
greek chorus;a company of actors who comment (by speaking or singing in unison) on the action in a classical greek play
chemical industry;a manufacturer of chemicals
club;a formal association of people with similar interests. 'he joined a golf club'. 'they formed a small lunch society'. 'men from the fraternal order will staff the soup kitchen today'
administrative unit;a unit with administrative responsibilities
midas;(greek legend) the greedy king of phrygia who dionysus gave the power to turn everything he touched into gold
service;a company or agency that performs a public service. subject to government regulation
medical institution;an institution created for the practice of medicine
popular front;a leftist coalition organized against a common opponent
commerce department;the federal department that promotes and administers domestic and foreign trade (including management of the census and the patent office). created in 1913
acquirer;the financial institution that dispenses cash in automated teller machines and collects a fee from the bank that issued the credit card
junior high school;a secondary school usually including 7th and 8th grades
praesidium;a permanent executive committee in socialist countries that has all the powers of some larger legislative body and that acts for it when it is not in session
service bureau;a business that makes its facilities available to others for a fee. achieves economy of scale
hindooism;the dominant religion of india. characterized by a caste system and belief in reincarnation
maker;a business engaged in manufacturing some product
wing;a unit of military aircraft
wmo;the united nations agency concerned with the international collection of meteorological data
farmer labor party;a former minor political party in the us in the early 20th century
church of ireland;autonomous branch of the church of england in ireland
side;one of two or more contesting groups (in games or war or politics). 'the confederate side was prepared to attack'
hands;the force of workers available
socialist party;a political party in the us formed in 1900 to advocate socialism
firm;members of a business organization. 'he worked for a brokerage house'
oil business;an industry that produces and delivers oil and oil products
mob;a loose affiliation of gangsters in charge of organized criminal activities
railroad;the commercial organization responsible for operating a railway system
federal national mortgage association;a federally chartered corporation that purchases mortgages
protestant denomination;group of protestant congregations
protagonist;the principal character in a work of fiction
oedipus;(greek mythology) a tragic king who unknowingly killed his father and married his mother. the subject of the drama oedipus rex by sophocles
multibank holding company;a bank holding company owning several banks
soviet;an elected governmental council in a communist country
ilo;the united nations agency concerned with the interests of labor
protestant;the protestant churches and denominations collectively
insurance company;a financial institution that sells insurance
defense;the federal department responsible for safeguarding national security. created in 1947
armed service;a force that is a branch of the armed forces
processor;a business engaged in processing agricultural products and preparing them for market
islamism;muslims collectively and their civilization. based on a monotheistic religion believing that mohammed was the last and major prophet of god. 'the term mohammedanism is offensive to muslims'
rastafarianism;a militant black religion of the followers of haile selassie of ethiopia
byzantine church;the catholic church of the byzantine empire
police department;the department of local government concerned with enforcing the law and preventing crime
grammar school;a secondary_school emphasizing latin and greek in preparation for college
pierrot;a male character in french pantomime. usually dressed in white with a whitened face
faith;institution to express belief in a divine power. 'he was raised in the baptist religion'. 'a member of his own faith contradicted him'
alcides;in classical mythology a hero noted for his strength. performed 12 immense labors to gain immortality
department of chemistry;the academic department responsible for teaching and research in chemistry
livery company;one of the chartered companies of london originating with the craft guilds
basilisk;(classical mythology) a serpent (or lizard or dragon) able to kill with its breath or glance
cabinet;persons appointed by a head of state to head executive departments of government and act as official advisers
business concern;a commercial or industrial enterprise and the people who constitute it. 'he bought his brother's business'. 'a small mom-and-pop business'. 'a racially integrated business concern'
sorority;a social club for female undergraduates
lead bank;a bank named by a multi-bank lending syndicate to protect their interests
navy department;a former executive department. created in 1798 and combined with the war department in 1947
bugbear;an imaginary monster used to frighten children
mining company;a company that owns and manages mines
philanthropic foundation;a foundation that provides funds for science or art or education or religion or relief from disease etc.
brynhild;(norse mythology) a valkyrie who loved the hero siegfried. when he deceived her she had him killed and then committed suicide
septette;seven performers or singers who perform together
department of physics;the academic department responsible for teaching and research in physics
short line;a transportation system that operates over relatively short distances
mercantile agency;an organization that provides businesses with credit ratings of other firms. 'dun & bradstreet is the largest mercantile agency in the united states'
building society;british equivalent of us savings and loan association
raf;the airforce of great britain
federal reserve system;the central bank of the us. incorporates 12 federal reserve branch banks and all national banks and stated charted commercial banks and some trust companies
moving company;a company that moves the possessions of a family or business from one site to another
ltd.;(british) a company that is organized to give its owners limited liability
steamship company;an organization responsible for the operation of a fleet of steamships
flying horse;(greek mythology) immortal winged horse that sprang from the blood of the slain medusa. was tamed by bellerophon with the help of a bridle given him by athena. as the flying horse of the muses it is a symbol of high-flying imagination
social security administration;the agency of health and human services responsible for the social security system
ulysses;a mythical greek hero (roman name ulysses). his return to ithaca after the siege of troy was described in homer's odyssey
delegacy;a group of representatives or delegates
family;an association of people who share common beliefs or activities. 'the message was addressed not just to employees but to every member of the company family'. 'the church welcomed new members into its fellowship'
amish sect;an orthodox anabaptist sect separated from the mennonites in late 17th century. settled chiefly in se pennsylvania
mother goose;the imaginary author of a collection of nursery rhymes
gatt;a united nations agency created by a multinational treaty to promote trade by the reduction of tariffs and import quotas
freemasonry;freemasons collectively
ethics panel;a committee appointed to consider ethical issues
organized crime;"underworld organizations"
military police;a military corps that enforces discipline and guards prisoners
slate club;(british) a group of people who save money in a common fund for a specific purpose (usually distributed at christmas)
rowing club;a club for person who row
zoning board;a board of officials who divide an area into zones subject to different restrictions
great power;a state powerful enough to influence events throughout the world
carrier;a person or firm in the business of transporting people or goods or messages
basketball team;a team that plays basketball
national park service;an agency of the interior department responsible for the national parks
golem;(jewish folklore) an artificially created human being that is given life by supernatural means
basketball league;a league of basketball teams
placement office;an office that finds suitable employment for applicants
little league team;a team that plays in a little league
english department;the academic department responsible for teaching english and american literature
highschool;a public secondary school usually including grades 9 through 12. 'he goes to the neighborhood highschool'
pegasus;(greek mythology) immortal winged horse that sprang from the blood of the slain medusa. was tamed by bellerophon with the help of a bridle given him by athena. as the flying horse of the muses it is a symbol of high-flying imagination
consortium;an association of companies for some definite purpose
constitutional union party;a former political party in the us. formed in 1859 by former whigs who hoped to preserve the union
franchise;a business established or operated under an authorization to sell or distribute a company's goods or services in a particular area
dod;the federal department responsible for safeguarding national security. created in 1947
armourer;a manufacturer of firearms
ring;an association of criminals. 'police tried to break up the gang'. 'a pack of thieves'
gild;a formal association of people with similar interests. 'he joined a golf club'. 'they formed a small lunch society'. 'men from the fraternal order will staff the soup kitchen today'
jockey club;a club to promote and regulate horse racing
eastern church;the catholic church of the byzantine empire
playschool;a small informal nursery group meeting for half-day sessions
character;an imaginary person represented in a work of fiction (play or film or story). 'she is the main character in the novel'
msb;a state-chartered savings bank owned by its depositors and managed by a board of trustees
ibrd;a united nations agency created to assist developing nations by loans guaranteed by member governments
waterworks;a public utility that provides water
common carrier;a person or firm in the business of transporting people or goods or messages
kokka;the branch of shinto recognized as the official state religion of japan
paratroops;infantry trained and equipped to parachute
shock troops;soldiers who are specially trained and armed to lead an assault
executive branch;the branch of the united states government that is responsible for carrying out the laws
retail chain;a chain of retail stores
gendarmery;french police force. a group of gendarmes or gendarmes collectively
bunyan;a legendary giant lumberjack of the north woods of us and canada. had a blue ox named babe. 'the lakes of minnesota began when paul bunyan and babe's footprints filled with water'
company union;a union of workers for a single company. a union not affiliated with with a larger union
black hand;a secret terrorist society in the us early in the 20th century
republican party;the younger of 2 major political parties in the us. gop stands for grand old party
staff office;the division of a business responsible for hiring employees
patent office;the government bureau that keeps a record of patents and grants new ones
fairness commission;a commission delegated to ensure opportunities for the expression of opposing views
chamber of commerce;an association of businessmen to protect and promote business interests
defense;an organization of defenders that provides resistance against attack. 'he joined the defense against invasion'
trucking company;a company that ships goods or possessions by truck
bomber aircrew;the crew of a bomber
tech;a school teaching mechanical and industrial arts and the applied sciences
federal savings bank;a federally chartered savings bank
polity;a politically organized unit
repertory company;a theatrical company that performs plays from a repertoire
know nothing party;a former political party in the us. active in the 1850s to keep power out of the hands of immigrants and roman catholics
eastern church;derived from the byzantine church and adhering to byzantine rites
headquarters;a military unit consisting of a commander and the headquarters staff
entertainment industry;those involved in providing entertainment: radio and television and films and theater
string section;the section of an orchestra that plays stringed instruments
agency;an administrative unit of government. 'the central intelligence agency'. 'the census bureau'. 'office of management and budget'. 'tennessee valley authority'
phone company;a public utility that provides telephone service
furniture company;a company that sells furniture
bank of england;the central bank of england
shipping company;a company that provides shipping services
us navy;the navy of the united states of america
home;a social unit living together. 'he moved his family to virginia'. 'it was a good christian household'. 'i waited until the whole house was asleep'. 'the teacher asked how many people made up his home'
ld.;(british) a company that is organized to give its owners limited liability
icarus;(greek mythology) son of daedalus. while escaping from crete with his father (using the wings daedalus had made) he flew too close to the sun and the wax melted and he fell into the aegean and drowned
department of labor;the federal department responsible for promoting the working conditions of wage earners. created in 1913
scenic railway;small railway in an amusement park
airline business;a commercial enterprise that provides scheduled flights for passengers
publishing firm;a firm in the publishing business
huckleberry finn;a mischievous boy in a novel by mark twain
brahminism;the religious and social system of orthodox hinduism
coal industry;a producer of coal
economic and social council;a permanent council of the united nations. responsible for economic and social conditions
hockey team;a team that plays ice hockey
arm;an administrative division of some larger or more complex organization. 'a branch of congress'
soul;the immaterial part of a person. the actuating cause of an individual life
high church;a group in the anglican church that emphasizes the catholic tradition (especially in sacraments and rituals and obedience to church authority)
territorial;a territorial military unit
erinyes;(classical mythology) the hideous snake-haired monsters (usually three in number) who pursued unpunished criminals
orthodox church;derived from the byzantine church and adhering to byzantine rites
new scotland yard;the detective department of the metropolitan police force of london
kokka shinto;the branch of shinto recognized as the official state religion of japan
preparatory school;a private secondary school
brass section;the section of a band or orchestra that plays brass instruments
mission;an organization of missionaries in a foreign land sent to carry on religious work
lycanthrope;a monster able to change appearance from human to wolf
company;a unit of firefighters including their equipment: 'a hook-and-ladder company'
department of the federal government;a department of the federal government
martian;imaginary people who live on the planet mars
episcopal church;us church in communication with the see of canterbury
transfer agent;an agency (usually a bank) that is appointed by a corporation to keep records of its stock and bond owners and to resolve problems about certificates
duette;two performers or singers who perform together
legion;a large military unit. 'the french foreign legion'
jury;a committee appointed to judge a competition
auto company;a company that makes and sells automobiles
work force;the force of workers available
investment trust;a financial institution that sells shares to individuals and invests in securities issued by other companies
gangdom;"underworld organizations"
taoism;chinese taoist sect claiming to follow the teaching of lao-tzu but also incorporating pantheism and sorcery
men;the force of workers available
shia;one of the two main branches of orthodox islam. mainly in iran
methodist church;a deriving founded on the principles of john and charles wesley
full service bank;a financial institution that accepts demand deposits and makes loans and provides other services for the public
chimera;(greek mythology) fire-breathing she-monster with a lion's head and a goat's body and a serpent's tail. daughter of typhon
presbyterian church;the protestant denomination adhering to the views of john calvin
armed forces;the military forces of a nation
american baptist convention;an association of northern baptists
division;an army unit large enough to sustain combat. 'two infantry divisions were held in reserve'
primary school;a school for young children. usually the first 6 or 8 grades
labor;a political party formed in great britain in 1900. characterized by the promotion of labor's interests and the socialization of key industries
menage;a social unit living together. 'he moved his family to virginia'. 'it was a good christian household'. 'i waited until the whole house was asleep'. 'the teacher asked how many people made up his home'
shuha shinto;any branch of shinto other than kokka
municipal government;the government of a municipality
ancien regime;a political and social system that no longer governs (especially the system that existed in france before the french revolution)
argosy;one or more large merchant ships
maintenance staff;those in a business responsible for maintaining the physical plant
musical group;an organization of musicians who perform together
town meeting;government of a town by an assembly of the qualified voters
tube;an electric underground railway
bear market;a market characterized by falling prices for securities
missionary post;an organization of missionaries in a foreign land sent to carry on religious work
chamber orchestra;small orchestra. usually plays classical music
section;a small army unit usually having a special function
bundesbank;the central bank of germany
tammany society;a political organization in new york city (late 1800's and early 1900's) seeking political control by corruption and bossism
department of computer science;the academic department responsible for teaching and research in computer science
order;a formal association of people with similar interests. 'he joined a golf club'. 'they formed a small lunch society'. 'men from the fraternal order will staff the soup kitchen today'
sect;a subdivision of a larger religious group
bank of japan;the central bank of japan
world bank;a united nations agency created to assist developing nations by loans guaranteed by member governments
sunday school;school meeting on sundays for religious instruction
american federation of labor congress of industrial organizations;the largest federation of labor unions in the united states. formed in 1955
defence;the team that is trying to prevent the other team from scoring. 'his teams are always good on defense'
roman church;the christian church based in the vatican and presided over by a pope and an episcopal hierarchy
people s party;a former political party in the us. formed in 1891 to advocate currency expansion and state control of railroads
jainism;sect founded in the 6th century as a revolt against hinduism
association for the advancement of retired persons;an association of people to promote the welfare of senior citizens
finance committee;a committee appointed to consider financial issues
posse;a temporary police force
imaginary being;"a creature of the imagination"
language school;a school for teaching foreign languages
commando;an amphibious military unit trained for raids into enemy territory
catholic school;a parochial school maintained by the catholic church
population commission;the commission of the economic and social council of the united nations that is concerned with population control
u.s. government;the executive and legislative and judicial branches of the federal government of the us
trusteeship council;a permanent council of the united nations that commissions a country (or countries) to undertake the administration of a territory
close corporation;a corporation owned by a few people. shares have no public market
stage crew;crew of workers who move scenery or handle properties in a theatrical production
destiny;"the ultimate agency that predetermines the course of events (often personified as a woman). 'we are helpless in the face of destiny'"
sestet;six performers or singers who perform together
naval forces;an organization of military naval forces
public utility;a company that performs a public service. subject to government regulation
witch;a being (usually female) imagined to have special powers derived from the devil
irs;the bureau of the treasury department responsible for tax collections
junior high;a secondary school usually including 7th and 8th grades
sextette;six performers or singers who perform together
customs union;an association of nations to promote free trade within the union and set common tariffs for for nations that are not members
institution;an organization founded and united for a specific purpose
department of local government;a permanent department created to perform the work of a local government
truck dealer;a firm that sells and buys trucks
agency;a business that serves other businesses
philosophy department;the academic department responsible for teaching philosophy
section;a specialized division of a large organization. 'you'll find it in the hardware department'. 'she got a job in the historical section of the treasury'
military service;a force that is a branch of the armed forces
papacy;the government of the roman catholic church
federal reserve bank;one of 12 regional banks that monitor and act as depositories for banks in their region
workforce;the force of workers available
religious order;a subdivision of a larger religious group
commercial enterprise;an enterprise connected with commerce
trio;three performers or singers who perform together
department;a specialized division of a large organization. 'you'll find it in the hardware department'. 'she got a job in the historical section of the treasury'
foreign mission;a permanent diplomatic mission headed by a minister
sociology department;the academic department responsible for teaching and research in sociology
personnel office;the division of a business responsible for hiring employees
trojan horse;a subversive group that supports the enemy and engages in espionage or sabotage. an enemy in your midst
us marine corps;an amphibious division of the us navy
cerberus;(greek mythology) 3-headed dog guarding the entrance to hades. son of typhon
mormons;church founded by joseph smith in 1830 with headquarters in salt lake city utah
citizens committee;a self-constituted organization to promote something
polytechnic;a technical school offering instruction in many industrial arts and applied sciences
offense;the team that has the ball (or puck) and is trying to score
troupe;organization of performers and associated personnel (especially theatrical). 'the traveling company all stayed at the same hotel'
international maritime organization;the united nations agency concerned with international maritime activities
day school;a school giving instruction during the daytime
closed shop;a company that hires only union members
kkk;a secret society of white southerners to resist black emancipation
eleven;a team that plays football
mantiger;a mythical monster having the head of man (with horns) and the body of a lion and the tail of a scorpion
mimir;(norse mythology) giant who guarded the well of wisdom
line personnel;personnel having direct job performance responsibilities
car manufacturer;a business engaged in the manufacture of automobiles
dance orchestra;a group of musicians playing popular music for dancing
antigone;(greek mythology) the daughter of king oedipus who disobeyed her father and was condemned to death
force;group of people willing to obey orders. 'a public force is necessary to give security to the rights of citizens'
commercial finance company;a finance company that makes loans to manufacturers and wholesalers
chain;a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership
resistance;a secret group organized to overthrow a government or occupation force
society of friends;a protestant sect. commonly called quakers
minotaur;(greek mythology) a mythical monster with the head of a bull and the body of a man. destroyed by theseus
iskcon;a society founded in the us in 1966. based on vedic scriptures. groups engage in joyful chanting of 'hare krishna' ('o krishna!')
little john;legendary follower of robin hood. noted for his size and strength
planning commission;a commission delegated to propose plans for future activities and developments
jack frost;a personification of winter
arms industry;an industry that manufacturers weapons of war
intelligence;a unit responsible for gathering and interpreting intelligence
standing committee;a permanent committee
mermaid;half woman and half fish, lives in the sea
division;a group of ships of similar type
charity;a foundation created to promote the public good (not for assistance to any particular individuals)
electric company;a public utility that provides electricity
northern baptist convention;an association of northern baptists
combination in restraint of trade;any monopoly or contract or combination or conspiracy intended to restrain commerce (which are illegal according to anti-trust laws of the us)
unit;an organization regarded as part of a larger social group. 'the coach said the offensive unit did a good job'. 'after the battle the soldier had trouble rejoining his unit'
blue;any organization or party whose uniforms or badges are blue. 'the union army was a vast blue'
newspaper;a business firm that publishes newspapers. 'murdoch owns many newspapers'
community chest;a charity supported by individual subscriptions. defrays the demands on a community for social welfare
national aeronautics and space administration;an independent agency of the us government responsible for aviation and spaceflight
kibbutz;(israel) a collective farm owned by its members. children are reared collectively
union army;the northern army during the american civil war
imaginary creature;"a creature of the imagination"
extraterrestrial;a form of life assumed to exist outside the earth or its atmosphere
christian church;a protestant church that accepts the bible as the only source of true christian faith and practices baptism by immersion
creek confederacy;a north american indian confederacy organized by the muskogee that dominated the se us before being removed to oklahoma
car company;a company that makes and sells automobiles
federation;a union of political organizations
frat;a social club for male undergraduates
pentecostal religion;any fundamentalist protestant church that uses revivalistic methods to achieve experiences comparable to the pentecostal experiences of the first christian disciples
band;instrumentalists not including string players
aluminum industry;a manufacturer of aluminum
legion;association of ex-servicemen. 'the american legion'
board of selectmen;a board of officials elected to administer the public business of a new england town
epa;a federal agency established to coordinate programs aimed at reducing pollution and protecting the environment
aladdin;in the arabian nights a boy who acquires a magic lamp from which he can summon a genie
economic commission for latin america;the commission of the economic and social council of the united nations that is concerned with economic development in latin america
international organization;an international alliance involving many different countries
trades union;an organization of employees formed to bargain with the employer. 'you have to join the union in order to get a job'
club;a team of professional baseball players who play and travel together. 'each club played six home games with teams in its own division'
medea;(greek mythology) a princess of colchis who aided jason in taking the golden fleece from her father
lodge;a formal association of people with similar interests. 'he joined a golf club'. 'they formed a small lunch society'. 'men from the fraternal order will staff the soup kitchen today'
chapter;a local branch of some fraternity or association. 'he joined the atlanta chapter'
commission on the status of women;the commission of the economic and social council of the united nations that is concerned with the status of women in different societies
police;the force of policemen and officers. 'the law came looking for him'
technical school;a school teaching mechanical and industrial arts and the applied sciences
union;an organization of employees formed to bargain with the employer. 'you have to join the union in order to get a job'
vital principle;"a hypothetical force to which the functions and qualities peculiar to living things are sometimes ascribed"
cooperative;an association formed and operated for the benefit of those using it
school;an educational institution. 'the school was founded in 1900'
country;a politically organized body of people under a single government. 'the state has elected a new president'
big band;a large dance or jazz band usually featuring improvised solos by lead musicians
coastguard;a military service responsible for the safety of maritime traffic in coastal waters
freddie mac;a corporation authorized by congress to provide a secondary market for residential mortgages
united states cabinet;a board to advise the president. members are the secretaries of executive departments. the us constitution does not provide for the cabinet
fagin;a villainous jew in charles dickens' novel 'oliver twist'. fagin was a fence who trained boys as pickpockets
fictional character;an imaginary person represented in a work of fiction (play or film or story). 'she is the main character in the novel'
department of the treasury;the federal department that collects revenue and administers federal finances. the treasury department was created in 1789
harpy;(greek mythology) vicious winged monster. often depicted as a bird with the head of a woman
weather bureau;agency responsible for gathering and interpreting meteorological data for weather study and forecasts
argus;(greek mythology) a giant with 100 eyes. was guardian of the heifer io and was slain by hermes
host;any organization that provides resources and facilities for a function or event. 'atlanta was chosen to be host for the olympic games'
syndicate;an association of companies for some definite purpose
board of trustees;a governing board elected or appointed to direct the policies of an educational institution
hohenzollern empire;1871-1919
department of mathematics;the academic department responsible for teaching and research in mathematics
hercules;in classical mythology a hero noted for his strength. performed 12 immense labors to gain immortality
minstrelsy;a troupe of minstrels
service firm;a business that makes its facilities available to others for a fee. achieves economy of scale
fao;the united nations agency concerned with the international organization of food and agriculture
troop;a cavalry unit corresponding to an infantry company
schola cantorum;a school that is part of a cathedral or monastery where boys with singing ability can receive a general education
appeals board;a board of officials that are not judicial but are appointed to hear appeals
euryale;(greek mythology) one of the three gorgons
yahoo;one of a race of brutes resembling men but subject to the houyhnhnms in swift's gulliver's travels
composite school;a large british or canadian secondary school for children of all abilities
state;the group of people comprising the government of a sovereign state. 'the state has lowered its income tax'
secret service;a government agency that conducts intelligence operations
american party;a former political party in the us. active in the 1850s to keep power out of the hands of immigrants and roman catholics
liberal party;a major political party in great britain in the 19th century. now the third largest. advocated reforms and improvement of the conditions of working people
selective service system;a federal agency that administers compulsory military service
economic commission for africa;the commission of the economic and social council of the united nations that is concerned with economic development of african nations
horse cavalry;an army unit mounted on horseback
lock ness monster;large aquatic animal supposed to resemble a serpent or plesiosaur of loch ness in scotland
artillery;an army unit that uses big guns
night school;a school that holds classes in the evenings for students who cannot attend during the day
hinduism;the dominant religion of india. characterized by a caste system and belief in reincarnation
commercial credit company;a finance company that makes loans to manufacturers and wholesalers
closely held corporation;stock is publicly traded but most is held by a few shareholders who have no plans to sell
rhythm section;the section of a band or orchestra that plays percussion instruments
sherlock holmes;a fictitious detective in stories by a. conan doyle
giant;an unusually large enterprise. 'walton built a retail giant'
mythical creature;a monster renowned in folklore and myth
gestapo;the secret state police in nazi germany. known for its terrorist methods
combination;an alliance of people or corporations or countries for a special purpose (formerly to achieve some antisocial end but now for general political or economic purposes)
hiring hall;a union-operated placement office where jobs are allotted to applicants according to seniority or rotation
sales staff;those in a business who are responsible for sales
firing squad;a squad formed to fire volleys at a military funeral or to carry out a military execution
fictitious character;an imaginary person represented in a work of fiction (play or film or story). 'she is the main character in the novel'
school of medicine;a graduate school offering study leading to a medical degree
church of england;the national church of england (and all other churches in other countries that share its beliefs). has its see in canterbury and the sovereign as its temporal head
u. s. army;the army of the united states of america
paul bunyan;a legendary giant lumberjack of the north woods of us and canada. had a blue ox named babe. 'the lakes of minnesota began when paul bunyan and babe's footprints filled with water'
coronary care unit;a hospital unit specially staffed and equipped to treat patients with serious cardiac problems
play group;a small informal nursery group meeting for half-day sessions
grade school;a school for young children. usually the first 6 or 8 grades
coptic church;the ancient christian church of egypt
staff;personnel who assist their superior in carrying out an assigned task. 'the hospital has an excellent nursing staff'. 'the general relied on his staff to make routine decisions'
orthodox catholic church;derived from the byzantine church and adhering to byzantine rites
narcissus;(greek mythology) a beautiful young man who fell in love with his own reflection
lilliputian;a 6-inch tall inhabitant of lilliput in swift's gulliver's travels
organization of american states;an association of countries in the w hemisphere. created in 1948 to promote military and economic and social and cultural cooperation
industrial union;a labor union that admits all workers in a given industry irrespective of their craft
anglican communion;the national church of england (and all other churches in other countries that share its beliefs). has its see in canterbury and the sovereign as its temporal head
soup kitchen;a place where food is dispensed to the needy
aluminum business;a manufacturer of aluminum
pac;committee formed by a special-interest group to raise money for their favorite political candidates
federal reserve board;the 7-member board governing the federal reserve system
world power;a state powerful enough to influence events throughout the world
marriage mart;a business that arranges marriage contracts
un;an organization of independent states to promote international peace and security
major league;the most important league in any sport (especially baseball)
tammany;a political organization in new york city (late 1800's and early 1900's) seeking political control by corruption and bossism
preschool;an educational institution for children too young for elementary school
werewolf;a monster able to change appearance from human to wolf
department of english;the academic department responsible for teaching english and american literature
football league;a league of football teams
scout troop;a unit of girl or boy scouts
quintette;five performers or singers who perform together
party;an organization to gain political power. 'in 1992 perot tried to organize a third party at the national level'
ajax;a mythical greek hero. a warrior who fought against troy in homer's iliad
department of sociology;the academic department responsible for teaching and research in sociology
department of music;the academic department responsible for teaching music and music appreciation
league;an association of sports teams that organizes matches for its members
choir school;a school that is part of a cathedral or monastery where boys with singing ability can receive a general education
fire department;the department of local government responsible for preventing and extinguishing fires
lighting industry;an industry devoted to manufacturing and selling and installing lighting
ballet company;a company that produces ballets
communist party;in communist countries: the sole political party of the state
united nations international children s emergency fund;an agency of the united nations responsible for programs to aid education and the health of children and mothers in developing countries
mission;a group of representatives or delegates
rack railway;for steep mountains. a cogwheel on the locomotive engages cogs on a center rail to provide traction
local government;the government of a local area
kindergarten;a preschool for children age 4 to 6 to prepare them for primary school
unicorn;an imaginary creature represented as a white horse with a long horn growing from its forehead
railroad line;the commercial organization responsible for operating a railway system
agamemnon;(classical mythology) the king who lead the greeks against troy in the trojan war
correspondence school;a school that teaches nonresident students by mail
brunhild;(norse mythology) a valkyrie who loved the hero siegfried. when he deceived her she had him killed and then committed suicide
organ;a government agency or instrument devoted to the performance of some specific function. 'the census bureau is an organ of the commerce department'
aa;an international organization that provides a support group for persons trying to overcome alcoholism
hunt club;an association of huntsmen who hunt for sport
closed end investment company;a regulated investment company that issues a fixed number of shares which are listed on a stock market
secret society;a society that conceals its activities from nonmembers
regulatory authority;a government agency that regulates businesses in the public interest
trade school;a secondary school teaching the skilled trades
royal air force;the airforce of great britain
economic commission for europe;the commission of the economic and social council of the united nations that is concerned with economic development in europe
red cross;an international organization that cares for the sick or wounded or homeless in wartime
junior school;british school for children aged 7-11
bomber crew;the crew of a bomber
airforce;an organization of military air forces
electronics company;a company that makes and sells electronic instruments
brunnhilde;(norse mythology) a valkyrie who loved the hero siegfried. when he deceived her she had him killed and then committed suicide
funicular;a railway up the side of a mountain pulled by a moving cable and having counterbalancing ascending and descending cars
trade union;an organization of employees formed to bargain with the employer. 'you have to join the union in order to get a job'
university;a large and diverse institution of higher education created to educate for life and for a profession and to grant degrees
ida;an agency of the united nations affiliated with the world bank
expedition;an organized group of people undertaking a journey for a particular purpose. 'an expedition was sent to explore mars'
department of linguistics;the academic department responsible for teaching and research in linguistics
riding school;a school where horsemanship is taught and practiced
reserve officers training corps;a training program to prepare college students to be commissioned officers
fifth column;a subversive group that supports the enemy and engages in espionage or sabotage. an enemy in your midst
transit line;a line providing public transit
nemean lion;(greek mythology) an enormous lion strangled by hercules as the first of his 12 labors
salvation army;a charitable and religious organization to evangelize and to care for the poor and homeless
service;a force that is a branch of the armed forces
uniat church;any of several eastern churches acknowledging papal authority but retaining their own rites and canon law
conglomerate;a group of companies run as a single organization
industrial loan company;a finance company that makes small loans to industrial workers
major league team;a team that plays in a major league
american labor party;a former political party in the us. formed in 1936 in new york when labor and liberals bolted the democratic party
state;a politically organized body of people under a single government. 'the state has elected a new president'
auto manufacturer;a business engaged in the manufacture of automobiles
baptists;any of various evangelical protestant churches that believe in the baptism of voluntary believers
car dealer;a firm that sells and buys cars
academic department;a division of a school that is responsible for a given subject
line of defense;any organization whose responsibility it is to defend against something. 'police are the major line of defense against crime'
governing board;a board that manages the affairs of an institution
imf;a united nations agency to promote trade by increasing the exchange stability of the major currencies
jug band;a musical group that uses jugs and washboards and kazoos and other improvised instruments
allies;an alliance of nations joining together to fight a common enemy
pipeline company;a company that operates oil pipelines for the oil industry
international bank for reconstruction and development;a united nations agency created to assist developing nations by loans guaranteed by member governments
department of biology;the academic department responsible for teaching and research in biology
company;an institution created to conduct business. 'he only invests in large well-established companies'. 'he started the company in his garage'
mafia;a crime syndicate in the united states. organized in families. believed to have important relations to the sicilian mafia
shaktism;a hindu sect worshiping shakti
defence;an organization of defenders that provides resistance against attack. 'he joined the defense against invasion'
emile;the boy whose upbringing was described by jean jacques rousseau
clearing house;a central collection place where banks exchange checks or drafts. participants maintain an account against which credits or debits are posted
purchasing department;the division of a business responsible for purchases
department of agriculture;the federal department that administers programs that provide services to farmers (including research and soil conservation and efforts to stabilize the farming economy). created in 1862
electra;(greek mythology) the daughter of agamemnon and clytemnestra. persuaded her brother (orestes) to avenge agamemnon's death by helping her to kill clytemnestra and her lover
duet;two performers or singers who perform together
sita;wife of ramachandra
council of economic advisors;an executive agency responsible for providing economic advice to the president
nature;"a causal agent creating and controlling things in the universe. 'nature has seen to it that men are stronger than women'"
force;a unit that is part of some military service. 'he sent caesar a force of six thousand men'
nation;a politically organized body of people under a single government. 'the state has elected a new president'
octette;eight performers or singers who perform together
division;a league ranked by quality. 'he played baseball in class d for two years'. 'princeton is in the ncaa division 1-aa'
pontificate;the government of the roman catholic church
pool;an association of companies for some definite purpose
enterprise;an organization created for business ventures. 'a growing enterprise must have a bold leader'"an organization created for business ventures. 'a growing enterprise must have a bold leader'"
