worm genus;a genus of worms
anthus;pipits
family hostaceae;one of many families or subfamilies into which some classification systems subdivide the liliaceae but not widely accepted. includes genus hosta
division eumycota;true fungi. eukaryotic heterotrophic walled organisms. distinguished from myxomycota (funguslike slime molds): comprises subdivisions mastigomycotina. zygomycotina. ascomycotina. basidiomycotina. deuteromycotina (imperfect fungi)
portunidae;swimming crabs
genus momordica;old world tropical vine
dasyatidae;sting rays
dictamnus;a dicotyledonous genus of the family rutaceae
hesperiphona;evening grosbeak
genus gerbera;genus of south african or asiatic herbs: african daisies
order psittaciformes;an order of birds including parrots and amazons and cockatoos and lorikeets and lories and macaws and parakeets
carcharias;type and sole genus of carchariidae: sand sharks
genus anagasta;moth whose larvae are flour moths
ixodidae;hard ticks
genus moloch;genus of australian desert lizard
euderma;a genus of vespertilionidae
genus antheropeas;small genus of north american herbs often included in genus eriophyllum
orchidales;order of plants with irregular flowers having minute seeds: orchidaceae. burmanniaceae
sapodilla family;tropical trees or shrubs with milky juice and often edible fleshy fruit
heterobasidiomycetes;category used in some classification systems for various basidiomycetous fungi including rusts and smuts
family diomedeidae;albatrosses
phascogale;pouched mice
echinacea;small genus of north american coarse perennial herbs
family hexanchidae;primitive sharks
family membracidae;plant hoppers: treehoppers
eugenia;tropical trees and shrubs with aromatic leaves and often valuable hard wood
genus squilla;type genus of the family squillidae
genus xylomelum;small species of australian trees or shrubs. grown for their fruit and flowers
genus wynnea;a genus of fungi belonging to the family sarcoscyphaceae
botrychium;grape fern. moonwort
genus rosellinia;fungi having smooth perithecia with dark one-celled ascospores
convolvulaceae;morning_glory. bindweed. sweet potato. plants having trumpet-shaped flowers and a climbing or twining habit
family lucanidae;stag beetles
subphylum tunicata;tunicates
hymenoptera;an order of insects including: bees. wasps. ants. ichneumons. sawflies. gall wasps. etc.
genus peripatus;type genus of peripatidae. onychophorans of chiefly new world tropical regions
genus trogium;a genus of psocidae
lycopodiaceae;a family of ferns belonging to the order lycopodiales
genus mayaca;small genus of delicate mossy bog plants having white or violet flowers
genus salpichroa;herbs of temperate north and south america: cock's eggs
casuaridae;a family of large ostrich-like birds including cassowaries
genus oxydendrum;sourwood
family mucoraceae;large family of chiefly saprophytic fungi that includes many common molds destructive to food products
thecodontia;extinct terrestrial reptiles having teeth set in sockets. of the late permian to triassic
genus cenchrus;a genus of grasses of the family gramineae that have burs
claviceps;fungi parasitic upon the ovaries of various grasses
nelumbonaceae;in some classifications considered an independent family of water lilies. comprises the single genus nelumbo
himantopus;major one of two genera of stilts. similar to avocets but with straight bills
genus alstonia;genus of evergreen trees or shrubs with white funnel-shaped flowers and milky sap. tropical africa to southeastern asia and polynesia
genus boehmeria;false nettle
megalosauridae;megalosaurs
genus anarhichas;type genus of the anarhichadidae
mellivora;ratels
suborder homoptera;plant lice (aphids). whiteflies. cicadas. leafhoppers. plant_hoppers. scale insects and mealybugs. spittle insects
onychogalea;a genus of macropodidae
polypodiales;true (leptosporangiate) ferns
genus monotropa;leafless fleshy saprophytic plants. in some classifications placed in the family_pyrolaceae
saxe gothea;1 species: prince albert's yew
astreus;a genus of fungi belonging to the family geastraceae
neurotrichus;shrew moles
genus scrophularia;type genus of scrophulariaceae. named for the plants' supposed ability to cure scrofula: figworts
family hippoboscidae;winged or wingless dipterans: louse flies
order falconiformes;chiefly diurnal carnivorous birds having hooked beaks and long talons with opposable hind toe: falcons. hawks. eagles. ospreys. caracaras. vultures
genus anopheles;malaria mosquitoes. distinguished by the adult's head-downward stance and absence of breathing tubes in the larvae
sapindales;an order od dicotyledonous plants
genus crotalaria;large genus of herbs with simple leaves and racemes of yellow flowers. mainly of tropical africa
scombridae;marine food fishes: mackerels. chub mackerels. tuna
mazama;brockets
wynnea;a genus of fungi belonging to the family sarcoscyphaceae
genus lunaria;small genus of european herbs: honesty
thryothorus;carolina wrens
genus noctua;type genus of the noctuidae: moths whose larvae are cutworms
caesalpinioideae;alternative name in some classification systems for the family caesalpiniaceae
caper family;a dilleniid dicot family of the order rhoeadales that includes: genera capparis. cleome. crateva. polanisia
order chelonia;tortoises and turtles
scirpus;rhizomatous perennial grasslike herbs
genus kiggelaria;small genus of south african shrubs or small trees
suborder eurylaimi;broadbills
myxinikela;fossil hagfishes
caryophyllidae;a group of families of mostly flowers having basal or free-central placentation and trinucleate pollen (binucleate pollen is commoner in flowering plants). contains 14 families including: caryophyllaceae (carnations and pinks). aizoaceae. amaranthaceae. batidaceae. chenopodiaceae. cactaceae (order opuntiales). nyctaginaceae. phytolaccaceae. corresponds approximately to order caryophyllales. sometimes classified as a superorder
columbiformes;sand grouse. pigeons. doves. extinct dodos and solitaires
family pyrrhocoridae;firebugs
tachyglossus;type genus of the family tachyglossidae
genus chamaeleo;type genus of the chamaeleontidae
family palmaceae;chiefly tropical trees and shrubs and vines usually having a tall columnar trunk bearing a crown of very large leaves. coextensive with the order palmales
trumpet vine;a north american woody vine having pinnate leaves and large red trumpet-shaped flowers
animal kingdom;taxonomic kingdom comprising all living or extinct animals
genus hypsiglena;night snakes
genus threskiornis;type genus of the threskiornithidae
flacourtia;often spiny trees or shrubs of tropical asia and africa
genus angelica;biennial of perennial taprooted herbs of northern hemisphere
genus aptenodytes;large penguins
family elephantidae;elephants
class pyrenomycetes;class of fungi in which the fruiting body is a perithecium. includes powdery mildews and ergot and neurospora
dicamptodontidae;large and small highly aquatic salamanders
genus telanthera;used in former classifications systems. now included in genus alternanthera
rhagoletis;a genus of trypetidae
genus dianthus;carnations and pinks
family sylviidae;in some classifications considered a subfamily (sylviinae) of the family muscicapidae: old world (true) warblers. american kinglets and gnatcatchers
simulium;type genus of the simuliidae: blackflies
genus myrmecobius;banded anteater
family sturnidae;old world starlings
family vombatidae;wombats
order ornithischia;extinct terrestrial reptiles having birdlike pelvises: armored dinosaurs (thyreophorans). bone-headed and horned dinosaurs (marginocephalians). duck-billed dinosaurs (euronithopods)
genus lagostomus;viscachas
genus coccothraustes;large finches
genus vittaria;tropical epiphytic ferns with straplike fronds
macrotis;a genus of peramelidae
symphoricarpos alba;deciduous shrub of western north america having spikes of pink flowers followed by round white berries
amauropelta;epiphytic or terrestrial ferns of america and africa and polynesia
ptyas;asian rat snakes
genus lemur;type genus of the lemuridae
triops;type genus of the family triopidae: small crustaceans with a small third median eye
genus isoetes;type and genus of the isoetaceae and sole extant genus of the order isoetales
genus arvicola;in some classifications considered synonymous with microtus
family ophiodontidae;fishes closely related to greenlings
portulacacaea;family of usually succulent herbs. cosmopolitan in distribution especially in americas
hamamelites;genus of fossil plants having leaves similar to those of the witch hazel
tribe bovini;term not used technically. essentially coextensive with genus bos
genus descurainia;includes annual or biennial herbs of america and europe very similar to and often included among those of genera sisymbrium or hugueninia. not recognized in some classification systems
commelinales;an order of monocotyledonous herbs
lemna;minute aquatic herbs floating on or below the water surface of still water consisting of a leaflike frond or plant body and single root
genus cestrum;genus of fragrant tropical american shrubs
pongidae;usually considered as comprising orangutans. gorillas. chimpanzees. and sometimes gibbons
genus sarcoptes;type genus of the family sarcoptidae: itch mites
genus phoradendron;any of various american parasitic plants similar to old world mistletoe: false mistletoe
genus cosmocampus;a genus of fish in the family syngnathidae
form;(biology) a group of organisms within a species that differ in trivial ways from similar groups. 'a new strain of microorganisms'
genus melolontha;a genus of melolonthidae
genus conuropsis;a genus of psittacidae
salicornia;glassworts
family sapindaceae;chiefly tropical new and old world deciduous and evergreen trees and shrubs bearing leathery drupes with yellow translucent flesh. most plants produce toxic saponins
iguanodontidae;iguanodons
bacteroidaceae;family of bacteria living usually in the alimentary canal or on mucous surfaces of warm-blooded animals. sometimes associated with acute infective processes
ragee;east indian cereal grass whose seed yield a somewhat bitter flour, a staple in the orient
superorder ratitae;used in former classifications to include all ratite bird orders
genus nephthytis;small genus of tropical western african creeping or twining herbs
genus tetraclinis;sandarac tree
yam family;yams
genus kolkwitzia;chinese genus of 1 species: beauty bush
family scrophulariaceae;a family of dicotyledonous plants of the order polemoniales. includes figwort and snapdragon and foxglove and toadflax and speedwell and mullein. in some classifications placed in the order scrophulariales
genus dipteronia;small genus of large deciduous shrubs having large clusters of winged seeds that turn red as they mature. central and southern china
zygoptera;damselflies
family dendrocolaptidae;woodhewers or woodcreepers
achras;tropical trees having papery leaves and large fruit
genus solenopsis;fire ants
genus ageratum;genus of tropical american herbs grown for their flowers
plantain family;cosmopolitan family of small herbs and a few shrubs. most are troublesome weeds
tussilago;genus of low creeping yellow-flowered perennial herbs of north temperate regions: coltsfoots. in some classifications includes species often placed in other genera especially homogyne and petasites
poa;chiefly perennial grasses of cool temperate regions
genus syzygium;a tropical evergreen tree of the myrtle family native to the east indies but cultivated elsewhere
fundulus;killifish
order eubacteriales;one of two usually recognized orders of true bacteria. gram-positive spherical or rod-shaped forms. some are motile. in some classifications considered an order of schizomycetes
genus timalia;type genus of the timaliidae
genus arbutus;large evergreen shrubs and trees of southern europe and western north america: strawberry tree. madrona
genus dracaena;old world tropical plants with branches ending in tufts of sword-shaped leaves. in some classifications considered a genus of liliaceae
family malacanthidae;short-headed marine fishes. often brightly colored
pokeweed family;chiefly tropical herbaceous plants (including shrubs and trees) with racemose flowers: genera phytolacca. agdestis. ercilla. rivina. trichostigma
genus colinus;new world quail: the bobwhites
genus impatiens;annual or perennial herbs with stems more or less succulent. cosmopolitan except for south america, australia, and new zealand
cochlearius;boatbills
genus leuciscus;a genus of fish including: dace, chub
subdivision zygomycota;division of fungi having sexually produced zygospores
genus calamus;a genus of sparidae
genus nyctereutes;raccoon dogs
dryopithecus;genus of old world hominoids. miocene and pliocene
haliaeetus;a genus of accipitridae
division spermatophyta;seed plants. comprises the angiospermae (or magnoliophyta) and gymnospermae (or gymnospermophyta). in some classification systems spermatophyta is coordinate with pteridophyta (spore producing plants having vascular tissue and roots) and bryophyta (spore producing plants lacking vascular tissue and roots)
rutilus;roaches
drynaria;large robust epiphytic ferns of tropical forest and scrub. africa and asia and australia
genus columnea;genus of tropical american subshrubs and lianas
lepidodendrales;fossil arborescent plants arising during the lower devonian and conspicuous throughout the carboniferous
genus trapa;small genus of eurasian aquatic perennial herbs: water chestnut
orthotomus;tailorbirds
monardella;a genus of fragrant herbs of the family labiatae in the western united states
fucales;coextensive with the family fucaceae
division cynodontia;a division of triassic therapsida comprising small carnivorous tetrapod reptiles often with mammal-like teeth
arrow grass family;a family of monocotyledonous bog herbs of order naiadales
cedrela;tropical american trees
family alstroemeriaceae;one of many families or subfamilies into which some classification systems subdivide the liliaceae but not widely accepted. sometimes included in subfamily amaryllidaceae
genus acanthisitta;a genus of xenicidae
lepidosauria;diapsid reptiles: lizards. snakes. tuataras
genus palinurus;type genus of the family palinuridae
mushroom pimple;any of various mushrooms of the family hypocreaceae
genus hesperiphona;evening grosbeak
striped dogwood;maple of eastern north america with striped bard and large 2-lobed leaves clear yellow in autumn
geophilomorpha;small elongate centipedes living in soil and under stones and having more than 30 pairs of legs
genus sturnus;type genus of the sturnidae: common starlings
genus conyza;common american weed or wildflower
order santalales;order of plants distinguished by having a one-celled inferior ovary. many are parasitic or partly parasitic usually on roots
lovoa;genus of african timber trees
iresine;genus of tropical american herbs or subshrubs
genus camelina;annual and biennial herbs of mediterranean to central asia
genus aspalathus;genus of south african heathlike shrubs
genus uta;a reptile genus of iguanidae
genus lindera;aromatic evergreen or deciduous dioecious shrubs or trees of eastern asia and north america
genus mayetiola;a genus of cecidomyidae
molluga;carpetweeds
oscillatoriaceae;blue green algae
orontium;1 species of aquatic plant: golden club
camelus;type genus of the camelidae: camels
genus lycaena;type genus of the lycaenidae. small slender butterflies with upper surface of wings usually metallic blue or green or copper
genus oxandra;genus of tropical trees
family guttiferae;widely distributed family of chiefly tropical trees and shrubs and vines that produce oils and resins and some usable timber
genus reithrodontomys;new world harvest mice
vespula;sometimes considered a subgenus of vespa: social wasps
thelephoraceae;fungi having leathery or membranous sporaphores
sciadopityaceae;family comprising a single genus that until recently was considered part of taxodiaceae
mayaca;small genus of delicate mossy bog plants having white or violet flowers
genus hovea;genus of australian evergreen shrubs
fungus genus;includes lichen genera
numidinae;guinea fowl and related birds of africa and madagascar
genus arthropteris;tropical and subtropical old world epiphytic or lithophytic ferns
genus sanguinaria;1 species: bloodroot
ascidiaceae;sometimes classified as an order: sea_squirts
leptarrhena;1 species: leatherleaf saxifrage
genus panax;perennial herbs of eastern north america and asia having aromatic tuberous roots: ginseng
chaetodipterus;a genus of ephippidae
genus rhizobium;the type genus of rhizobiaceae. usually occur in the root nodules of legumes. can fix atmospheric oxygen
myxomycetes;the class of true slime molds. essentially equivalent to the division myxomycota
trachipteridae;ribbonfishes
dactyloctenium;a monocotyledonous genus of the family gramineae
thamnophilus;a genus of formicariidae
alcedinidae;kingfishers
desmid;freshwater green algae
helix;type genus of the family helicidae
cepphus;a genus of birds including: guillemots
armillaria;genus of edible mushrooms having white spores an annulus and blue juice. some are edible. some cause root rot
callorhinus;fur seals
genus morone;carnivorous fresh and salt water fishes
genus coumarouna;tropical american trees: tonka beans
genus phocaena;porpoises
prociphilus;a genus of aphididae
genus storeria;a genus of colubridae
genus ruptiliocarpon;new (1993) genus of trees of central america now recognized as similar to those of genus lepidobotrys
pyrrhocoridae;firebugs
rhizobiaceae;a small family of rod-shaped bacteria
genus polyprion;wreckfish
genus trinectes;a genus of soleidae
family rallidae;rails. crakes. gallinules. coots
family oriolidae;old world orioles
tribonemaceae;simple filamentous freshwater yellow-green algae
genus bos;wild and domestic cattle. in some classifications placed in the subfamily bovinae or tribe bovini
genus kniphofia;genus of showy clump-forming african herbs with grasslike leaves. sometimes placed in family aloeaceae
epipremnum;small genus of evergreen lianas of southeastern asia to western pacific areas
cryptogamia;in former classification systems: one of two major plant divisions, including all plants that do not bear seeds: ferns, mosses, algae, fungi
genus sesbania;small genus of tropical and subtropical leguminous herbs or shrubs or trees
order scandentia;a small order comprising only the tree shrews: in some classifications tree shrews are considered either primates (and included in the suborder prosimii) or true insectivores (and included in the order_insectivora)
family liliaceae;includes species sometimes divided among the following families: alliaceae. aloeaceae. alstroemeriaceae. aphyllanthaceae. asparagaceae. asphodelaceae. colchicaceae. convallariaceae. hemerocallidaceae. hostaceae. hyacinthaceae. melanthiaceae. ruscaceae. smilacaceae. tecophilaeacea. xanthorrhoeaceae
aster family;plants with heads composed of many florets: aster. daisy. dandelion. goldenrod. marigold. lettuces. ragweed. sunflower. thistle. zinnia
genus fritillaria;fritillary
genus scirpus;rhizomatous perennial grasslike herbs
consolida;plants having larkspurlike flowers differing from larkspurs in arrangement of petals. sometimes included in genus delphinium
suborder plesiosauria;any of the plesiosaurs
genus alectoria;lichens having dark brown erect or pendulous much-branched cylindrical thallus
sarcophilus;tasmanian devil
combretum family;a family of tropical trees and shrubs of the order myrtales
satureia;savory
genus angiopteris;1 species: tree fern
genus callisaurus;zebra-tailed lizard
family electrophoridae;small family comprising the electric eels
luscinia;nightingales
family aspleniaceae;one of a number of families into which polypodiaceae has been subdivided in some classification systems. includes genera asplenium. pleurosorus. schaffneria
genus vigna;genus of vines or erect herbs having trifoliate leaves and yellowish or purplish flowers. of warm or tropical regions. most species often placed in genus phaseolus
order testudinata;tortoises and turtles
genus macadamia;trees or shrubs. madagascar to australia
genus iresine;genus of tropical american herbs or subshrubs
palaemonidae;prawns
symphytum;comfrey
proteaceae;large family of australian and south african shrubs and trees with leathery leaves and clustered mostly tetramerous flowers. constitutes the order proteales
genus cuculus;type genus of the cuculidae
genus ajuga;bugle
suborder menotyphla;elephant shrews. tree shrews
family chamaeleonidae;old world chameleons. in some classifications rhiptoglossa is considered a superfamily of sauria
lycaeon;african hunting dog
genus cepphus;a genus of birds including: guillemots
whorlywort;a tall perennial herb having spikes of small white or purple flowers. common in eastern north america
genus vallisneria;eelgrass. eel grass
eryngium;large genus of decorative plants with thistlelike flower heads. cosmopolitan in distribution
carangidae;large family of narrow-bodied marine food fishes with widely forked tails. chiefly of warm seas
family ophioglossaceae;a family of succulent ferns of order ophioglossales. cosmopolitan in distribution
athiorhodaceae;small motile sulphur bacteria
genus cibotium;in some classification systems placed in family cyatheaceae: ornamental tree ferns with coarse gracefully drooping fronds
genus scolopendrium;a genus of ferns belonging to the family polypodiaceae (in some classification systems included in genus asplenium)
tulostoma;type genus of the tulostomaceae
hemerobiidae;brown lacewings
genus ophrys;a hardy genus of terrestrial orchids of europe and northern africa and western asia
family fasciolidae;a family of trematoda
family oxyuridae;pinworms
subdivision gnetophytina;gymnospermous flowering plants. supposed link between conifers and angiosperms. in some systems classified as as class (gnetopsida) and in others as a subdivision (gnetophytina or gnetophyta)
genus corydalus;type genus of the corydalidae
hystricidae;old world porcupines
family lophiidae;large-headed marine fishes comprising the anglers
typhlopidae;blind snakes
family rhyniaceae;primitive plants of the paleozoic
picoides;a genus of picidae
anthonomus;weevils destructive of cultivated plants
vangueria;tropical african and asiatic trees and shrubs having one-seeded fruit
family tipulidae;crane flies
genus clethrionomys;a genus of cricetidae
genus symphytum;comfrey
dioscorea;yams
stenotomus;scups
genus pinckneya;small genus of shrubs or small trees of southeastern united states and northern south america
genus fulmarus;fulmars
bird genus;a genus of birds
strobilomyces;fungi similar to boletus but with a shaggy scaly cap
triturus;chiefly aquatic salamanders
smyrnium;alexanders
trinectes;a genus of soleidae
genus callithrix;type genus of the callithricidae: true marmosets
barn millet;a coarse annual panic grass. a cosmopolitan weed. occasionally used for hay or grazing
chrysophyta;mostly freshwater eukaryotic algae having the chlorophyll masked by brown or yellow pigment. yellow-green and golden-brown algae and diatoms: xanthophyceae, chrysophyceae, bacillariophyceae. some some classification systems superseded or subsumed by heterokontophyta
genus livistona;fan palms of asia and australia and malaysia
genus anthidium;potter bees
echinodermata;radially symmetrical marine invertebrates including e.g. starfish and sea urchins and sea cucumbers
hydrastis;small genus of perennial herbs having rhizomes and palmate leaves and small solitary flowers. of northeastern united states and japan
genus polianthes;genus of perennial tuberous herbs having lilylike flowers. mexico. sometimes placed in family amaryllidaceae
family davalliaceae;one of a number of families into which polypodiaceae has been subdivided in some classification systems. includes genera araiostegia. davallia. davallodes. gymnogrammitis. humata. leucostegia. scyphularia. trogostolon
tachypleus;a genus of limulidae
genus aletris;small genus of bitter-rooted herbs of eastern north america and asia. sometimes placed in family melanthiaceae
genus peridinium;type genus of the family peridiniidae
calocedrus;tall evergreens of western north america and eastern asia. formerly included in genus libocedrus
genus ceratopetalum;a dicotyledonous genus of the family cunoniaceae
genus tarpon;tarpons
thielavia;genus of fungi having spherical brown perithecia and some conidia borne in chains. cause root rot
genus psittacula;a genus of psittacidae
senecio;enormous and diverse cosmopolitan genus of trees and shrubs and vines and herbs including many weeds
genus molva;ling
templetonia;genus of australian shrubs or subshrubs: coral bush
family phaethontidae;tropicbirds
genus buchloe;buffalo grass
myristicaceae;family of aromatic tropical trees with arillate seeds
genus castanopsis;evergreen trees and shrubs of warm regions valued for their foliage. southeastern united states and eastern australia and northern new zealand
order tuberales;small order of fungi belonging to the subdivision ascomycota having closed underground ascocarps
genus froelichia;genus of erect or procumbent herbs of the americas having spikes of woolly white flowers: cottonweed
family ursidae;bears and extinct related forms
genus ibis;ibises
gopherus;gopher tortoises
chinchillidae;small bushy-tailed south american burrowing rodents
genus ornithorhynchus;type genus of the family ornithorhynchidae
malpighiaceae;tropical shrubs or trees
ephedraceae;ephedras: in some classifications included in the gnetaceae
trichoptera;an order of insects consisting of caddis flies
family canidae;dogs. wolves. jackals. foxes
pisces;a group of vertebrates comprising both cartilaginous and bony fishes and sometimes including the jawless vertebrates. not used technically
class sarcodina;characterized by the formation of pseudopods for locomotion and taking food: actinopoda. rhizopoda
bramidae;deep-bodied percoid fishes of the open seas
genus deparia;classification used for 5 species of terrestrial ferns usually placed in other genera
genus agrimonia;genus of herbs found chiefly in north temperate regions having pinnate leaves and yellow flowers followed by bristly fruit
eretmochelys;hawksbills
genus noctiluca;a genus of protoctista
delairea;1 species: german ivy
olfersia;1 species. in some classification systems included in genus polyboatrya
sarda;bonitos
elagatis;a genus of carangidae
procaviidae;includes all recent members of the order hyracoidea
genus deinocheirus;a reptile genus of ornithomimida
lygaeidae;lygaeid bugs
genus illicium;anise_trees: evergreen trees with aromatic leaves
family pennatulidae;sea pens
lopholatilus;large brightly colored food fish of deep atlantic waters
genus lycaeon;african hunting dog
genus pelecanus;type genus of the pelecanidae
branchiura;copepods with suctorial mouthparts. parasitic on fishes
genus ustilago;type genus of the ustilaginaceae. genus comprising the loose smuts
plant kingdom;taxonomic kingdom comprising all living or extinct plants
genus fomes;genus of bracket fungi forming corky or woody perennial shelflike sporophores often of large size. includes some that cause destructive heartrot in trees
agaricus;type genus of agaricaceae. gill fungi having brown spores and including several edible species
libocedrus;cypresses that resemble cedars
genus rosmarinus;rosemary
genus trichostema;genus of north american aromatic herbs or subshrubs: blue curls
pagellus;sea breams
family chamaeleontidae;old world chameleons. in some classifications rhiptoglossa is considered a superfamily of sauria
chalcididae;an arthropod family including: chalcidflies
columbidae;doves and pigeons
genus arethusa;genus of bog orchids of north america and japan
genus phoenicophorium;latanier palm
gymnosperm family;a family of gymnosperms
genus haliotis;type genus of the family haliotidae
suborder anthropoidea;monkeys. apes. hominids
family gobiidae;gobies
family geophilidae;small extremely elongate earth-living centipedes
order hyracoidea;hyraxes and some extinct animals
peripatidae;a family of onychophora
order cuculiformes;cuckoos. touracos. etc.
bryozoa;marine or freshwater animals that form colonies of zooids
triopidae;a family of notostraca
phoronidea;small phylum of wormlike marine animals
olive family;trees and shrubs having berries or drupes or capsules as fruits. sometimes placed in the order oleales: olive. ash. jasmine. privet. lilac
molva;ling
ophidiidae;eel-like marine fishes
opiliones;harvestmen
pyrolaceae;evergreen herbs of temperate regions: genera pyrola. chimaphila. moneses. orthilia
hyalophora;american silkworm moth
order alcyonaria;corals and sea anemones having eight branches
order anguilliformes;elongate fishes with pelvic fins and girdle absent or reduced
jynx;wrynecks
physidae;freshwater snails
naja;cobras
order chelonethida;false scorpions
ctenophora;comb jellies. sea acorns. a small phylum formerly considered a class of coelenterata
guttiferales;used in some classifications. coextensive with parietales
osteichthyes;a class of fish having a skeleton composed of bone in addition to cartilage
amphibia;frogs. toads. newts. salamanders. caecilians
family begoniaceae;monoecious succulent herbs or shrubs of tropical and warm regions especially america
family ceratopsidae;american ceratopsian dinosaurs
genus ectopistes;a genus of columbidae
lactophrys;a genus of ostraciidae
goose grass;coarse annual grass having fingerlike spikes of flowers. native to old world tropics. a naturalized weed elsewhere
genus beta;beets
genus phaius;genus of asiatic ans australian terrestrial orchids
genus sauromalus;chuckwallas
genus calamagrostis;reed grass
hydrobatidae;storm petrels
phyllostomus;type genus of the family phyllostomatidae
lobotes;type genus of the lobotidae
biscutella;genus of eurasian herbs and small shrubs: buckler mustard
genus pleurosorus;small genus comprising terrestrial ferns formerly placed in genera ceterach or grammitis or gymnogramma. chile. spain and morocco. australia and new zealand
genus aplectrum;a monocotyledonous genus of the family orchicaceae
family sittidae;nuthatches
pereskia;genus of tropical american shrubby trees and woody climbers having slender branches with broad flat leaves and large panicles of flowers
genus raoulia;genus of low-growing mat-forming new zealand plants. in some classifications includes species placed in genus haastia
pagrus;a genus of sparidae
arthropod genus;a genus of arthropods
ciliata;class of protozoa having cilia or hairlike appendages on part or all of the surface during some part of the life cycle
genus micrurus;coral snakes
embothrium;small genus of south american evergreen shrubs or small trees with long willowy branches and flowers in flamboyant terminal clusters
aplodontia;type genus of the aplodontiidae: comprising the mountain beavers
genus campyloneurum;epiphytic ferns of tropical america
genus populus;a genus of trees of the family salicaceae that is found in the northern hemisphere. poplars
genus ustilaginoidea;genus of imperfect fungi causing smutlike diseases
chlorura;towhees
family uintatheriidae;an extinct family of dinocerata
protea family;large family of australian and south african shrubs and trees with leathery leaves and clustered mostly tetramerous flowers. constitutes the order proteales
osmeridae;smelts
suborder sauria;true lizards. including chameleons and geckos
catasetum;genus of tropical american orchids having showy male and female flowers usually on separate inflorescences
bombyx;type genus of the bombycidae: chinese silkworm moth
perissodactyla;nonruminant ungulates: horses. tapirs. rhinoceros. extinct forms
family tytonidae;comprising only the barn owls
genus enterobius;pinworms
rotifera;a phylum including: rotifers
dilleniidae;a group of families of more or less advanced trees and shrubs and herbs having either polypetalous or gamopetalous corollas and often with ovules attached to the walls of the ovary. contains 69 families including ericaceae and cruciferae and malvaceae. sometimes classified as a superorder
family uranoscopidae;stargazers
inachis;a genus of nymphalidae
genus onychium;small terrestrial ferns of old world tropics and subtropics: claw ferns. sometimes placed in family cryptogrammataceae
simuliidae;blackflies and sand flies
genus inula;genus of old world herbs or subshrubs: elecampane
dasypus;type genus of the dasypodidae
family crocodylidae;true crocodiles
pseudoscorpionida;false scorpions
zamiaceae;a family of cycads often included in the family cycadaceae: zamias
genus thomomys;western pocket gophers
genus althaea;hollyhocks. in some classification systems synonymous with alcea
hypocreales;used in some classifications for the family hypocreaceae
gerridae;an arthropod family that includes water striders
hyacinthoides;small genus of perennial bulbs of western europe and north africa. sometimes placed in family hyacinthaceae
order cydippea;ctenophores having two long pinnate tentacles
genus aythya;canvasback. redhead. pochard. etc.
sparganiaceae;coextensive with the genus sparganium
genus helenium;genus of american herbs with yellow-rayed flowers: sneezeweeds
family hominidae;modern man and extinct immediate ancestors of man
chamaecyparis;a genus of chamaecyparis
genus stephanomeria;malheur wire lettuce
genus tyto;type and only genus of the family tytonidae
division dicynodontia;a division of therapsida
mugil;type genus of the mugilidae: mullets
genus spiranthes;large cosmopolitan genus of white-flowered terrestrial orchids
stylophorum;wood poppies
raptores;term used in former classifications. erroneously grouped together birds of the orders falconiformes and strigiformes
pipra;type genus of the pipridae containing the typical manakins
genus chlorophis;african green snakes
ochna;type genus of ochnaceae. evergreen trees and shrubs of old world tropics
genus setophaga;a genus of parulidae
genus gavia;type genus of the gavidae: loons
genus symphalangus;used in some classifications for the siamangs
genus subularia;small genus of herbs of north temperate regions and mountains of tropical africa
rosa;large genus of erect or climbing prickly shrubs including roses
order plectognathi;boxfishes. filefishes. globefishes. ocean sunfishes. triggerfishes. puffers
scolopax;type of the scolopacidae: old world woodcocks
uropsilus;shrew moles
silurus;type genus of the siluridae: catfishes
gallinago;snipes
cryptophyceae;motile usually brownish-green protozoa-like algae
family phoenicopteridae;flamingos
genus podargus;type genus of the podargidae
carica;type genus of the caricaceae. tropical american trees: papayas
genus plumbago;shrubs and herbs and woody vines of warm regions: leadwort
daucus;carrot
gerea;small genus of hairy herbs with yellow flowers
vitaceae;a family of vines belonging to order rhamnales
genus ophiodon;a genus of ophiodontidae
larix;larches
family cicindelidae;tiger beetles
arisarum;tuberous or rhizomatous perennial herbs. mainly mediterranean area
platycerium;often epiphytic tropical old world ferns
family gleicheniaceae;a family of ferns belonging to order filicales
genus zanthoxylum;deciduous or evergreen trees or shrubs: prickly ash
bambuseae;bamboos
family akeridae;bubble shells
family equidae;horses. asses. zebras. extinct animals
physostigma;african woody vines: calabar beans
chrysolophus;golden pheasants
genus heliophila;genus of south african flowering herbs and subshrubs
oxalidaceae;a family of widely distributed herbs of the order geraniales. have compound leaves and pentamerous flowers
roof mushroom;a large genus of fungi belonging to the family pluteaceae. the shape of the cap resembles a roof. often abundant early in the summer
alpinia;perennial rhizomatous herbs of asia and australia and polynesia having ginger-scented rhizomes
bryaceae;a family of acrocarpous mosses
genus zeus;type genus of the family zeidae
gambusia;mosquitofish
family pinnotheridae;tiny soft-bodied crabs
tiliomycetes;category used in some systems to comprise the two orders ustilaginales (smuts) and uredinales (rusts)
rock spikemoss;tufted spikemoss forming loose spreading mats. eastern north america
paphiopedilum;horticulturally important genus of mainly terrestrial orchids including many hybrids. southeastern asia and indonesia to philippines and solomon islands. paphiopedilum species sometimes included in genus cypripedium
genus tribolium;flour beetles
scomberesox;a genus of scomberesocidae
