pachytene;the third stage of the prophase of meiosis
chapter;a series of related events forming an episode. 'a chapter of disasters'
tie up;an interruption of normal activity
fading away;gradually diminishing in brightness or loudness or strength
surface noise;noise produced by the friction of the stylus of a record player moving over the rotating record
slip;an accidental misstep threatening (or causing) a fall. 'he blamed his slip on the ice'. 'the jolt caused many slips and a few spills'
fading;weakening in force or intensity: 'attenuation in the volume of the sound'
miscarriage;failure of a plan
sinking;a slow fall or decline (as for lack of strength). 'after several hours of sinking an unexpected rally rescued the market'. 'he could not control the sinking of his legs'
second advent;(christian theology) the reappearance of jesus as judge for the last judgment
imitation;the act of imitating
short;electrical circuit is overloaded
tin pest;the transformation of ordinary white tin into powdery gray tin a very cold temperatures
annihilation;total destruction. 'bomb tests resulted in the annihilation of the atoll'
degeneration;passing from a more complex to a simpler biological form
contingency;"a possible event or occurrence or result"
presage;a sign of something about to happen. 'he looked for an omen before going into battle'
sideshow;a subordinate incident of little importance relative to the main event. 'instruction is not an educational sideshow'
noise;electrical or acoustic activity that can disturb communication
trouncing;a sound defeat
compression;an increase in the density of something
subsequence;something that follows something else
materialization;something that comes into existence as a result. 'industrialism prepared the way for acceptance of the french revolution's various socialistic offspring'. 'this skyscraper is the solid materialization of his efforts'
news event;"a newsworthy event"
dismemberment;the removal of limbs. being cut to pieces
kismet;(islamic) the will of allah
opener;the first event in a series: 'she played chopin for her opener'. 'the season's opener was a game agains the yankees'
high fidelity;the reproduction of sound with little or no distortion
personnel casualty;military personnel lost by death or capture
cessation;a stopping. 'a cessation of the thunder'
pursuance;the continuance of something begun with a view to its completion
karma;(hinduism and buddhism) the effects of a person's actions that determine his destiny in his next incarnation
subsidence;an abatement in the manifestations of a disease. 'his cancer is in remission'
crisis;a crucial stage or turning point in the course of something. 'after the crisis the patient either dies or gets better'
tide;something that may increase or decrease (like the tides of the sea). 'a rising tide of popular interest'
accident;"anything that happens by chance without an apparent cause"
collapse;a mishap caused by something suddenly falling down or caving in
cerebrovascular accident;a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
crash;a serious accident (usually involving one or more vehicles). 'they are still investigating the crash of the twa plane'
strengthening;becoming stronger
sublimation;(psychology) modifying the natural expression of an impulse or instinct (especially a sexual one) to one that is socially acceptable
oncoming;the beginning or early stages. 'the onset of pneumonia'
shimmer;a weak and tremulous light. 'the shimmer of colors on iridescent feathers'. 'the play of light on the water'
crucifixion;the death of jesus on the cross after he was condemned by the jews as a false messiah
diastole;the widening of the chambers of the heart between two contractions when the chambers fill with blood
service break;a game won on the opponent's service
free living;a way of life given to easy indulgence of the appetites
elaboration;the result of improving something. 'he described a refinement of this technique'
jump;an abrupt transition. 'a successful leap from college to the major leagues'
partial eclipse;an eclipse in which the eclipsed body is only partially obscured
killing;an event that causes someone to die
way of life;a course of conduct. 'the path of virtue'. 'we went our separate ways'. 'our paths in life led us apart'. 'genius usually follows a revolutionary path'
head crash;(computer science) a crash of a read/write head in a hard disk drive (usually caused by contact of the head with the surface of the magnetic disk)
malformation;something abnormal or anomalous
pounding;an instance of rapid strong pulsation (of the heart). 'he felt a throbbing in his head'
experience;"an event as apprehended. 'a surprising experience'. 'that painful experience certainly got our attention'"
cycle;a single complete execution of a periodically repeated phenomenon: 'a year constitutes a cycle of the seasons'
flash;a short vivid experience. 'a flash of emotion swept over him'. 'the flashings of pain were a warning'
hi fi;the reproduction of sound with little or no distortion
loss of consciousness;the occurrence of a loss of the ability to perceive and respond
slaughter;a sound defeat
changeover;an event that results in a transformation
refinement;the result of improving something. 'he described a refinement of this technique'
hardship;something that causes or entails suffering: 'i cannot thinking it a hardship that more more indulgence is allowed to men than to women'- james boswell. 'the many hardships of frontier life'
attrition;a wearing down to weaken or destroy. 'a war of attrition'
pulse;(electronics) a sharp transient wave in the normal electrical state (or a series of such transients). 'the pulsations seemed to be coming from a star'
oscillation;(physics) a regular variation in value about a mean
compression;the process or result of becoming smaller or pressed together: 'the contraction of a gas on cooling'
sequel;something that follows something else
coronary thrombosis;obstruction of blood flow in a coronary artery by a blood clot (thrombus)
repeat;an event that repeats. 'the events today were a repeat of yesterday's'
complication;a development that complicates a situation. 'the court's decision had many unforeseen ramifications'
protraction;the act of prolonging something. 'there was an indefinite prolongation of the peace talks'
transformation;a qualitative change
finale;the concluding part of any performance
decrease;a change downward. 'there was a sharp drop-off in sales'
recovery;return to an original state. 'the recovery of the forest after the fire was surprisingly rapid'
background;extraneous signals that can be confused with the phenomenon to be observed or measured. 'they got a bad connection and could hardly hear one another over the background signals'
action replay;(television) showing again some action (especially sports action) that has been recorded on video tape
raw deal;unfair treatment
replacement;an event in which one thing is substituted for another
breeding;the result of good upbringing (especially knowledge of correct social behavior). 'a woman of breeding and refinement'
surprise;a sudden unexpected event
breech delivery;delivery of an infant whose feet appear first
ground swell;an obvious change of public opinion or political sentiment that occurs without leadership or overt expression. 'there was a ground swell of antiwar sentiment'
transposition;an event in which one thing is substituted for another
hap;an accidental happening. 'he recorded all the little haps and mishaps of his life'
renewal;the act of renewing
disintegration;total destruction. 'bomb tests resulted in the annihilation of the atoll'
jump;a sudden and decisive increase. 'a jump in attendance'
advance;a change for the better. progress in development
vision;a religious or mystical experience of a supernatural appearance. 'he had a vision of the virgin mary'
misfortune;unnecessary and unforeseen trouble
repetition;the act of repeating
curtain raising;the first performance (as of a theatrical production). 'the opening received good critical reviews'
stall;a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge. 'the plane went into a stall and i couldn't control it'
flood tide;the occurrence of incoming water (between a low tide and the following high tide)
wreck;an accident that destroys a ship at sea
fruit;the consequence of some effort or action. 'he lived long enough to see the fruit of his policies'
return;happening again (especially at regular intervals). 'the return of spring'
generalized seizure;a seizure (or a type of epilepsy characterized by such seizures) during which the patient becomes unconscious and has convulsions over the entire body
cva;a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
prophase;the first stage of mitosis
inevitable;an unavoidable event. 'don't argue with the inevitable'
revitalisation;the coming again into activity and prominence
foreboding;an unfavorable omen
impulse;(electronics) a sharp transient wave in the normal electrical state (or a series of such transients). 'the pulsations seemed to be coming from a star'
rebirth;a second or new birth
upbringing;properties acquired during a person's formative years
flapping;the motion made by flapping up and down
decision;(boxing) a victory won on points when no knockout has occurred: 'had little trouble in taking a unanimous decision over his opponent'
disappearance;"the event of passing out of sight"
encounter;a casual or unexpected convergence. 'he still remembers their meeting in paris'. 'there was a brief encounter in the hallway'
enervation;serious weakening and loss of energy
megadeath;the death of a million people. 'they calibrate the effects of atom bombs in megadeaths'
bad luck;an unpredictable outcome that is unfortunate. 'if i didn't have bad luck i wouldn't have any luck at all'
calvary;any experience that causes intense suffering
tin disease;the transformation of ordinary white tin into powdery gray tin a very cold temperatures
continuance;"the act of continuing or resuming an activity"
sound wave;(acoustics) a wave that transmits sound
slam;winning all or all but one of the tricks in bridge
gravity wave;(physics) a wave that is hypothesized to propagate gravity and to travel at the speed of light
wreck;a serious accident (usually involving one or more vehicles). 'they are still investigating the crash of the twa plane'
kismat;(islamic) the will of allah
thunderbolt;a shocking surprise. 'news of the attack came like a bombshell'
increase;a change resulting in an increase. 'the fare increase is scheduled for next month'
head;a difficult juncture. 'a pretty pass'. 'matters came to a head yesterday'
defeat;an unsuccessful ending
interference;electrical or acoustic activity that can disturb communication
conclusion;"an event whose occurrence ends something. 'his death marked the ending of an era'"
associate;any event that usually accompanies or is closely connected with another. 'first was the lightning and then its thunderous associate'
persistence;the act of persevering
breakdown;a cessation of normal operation. 'there was a power failure'
coronary occlusion;occlusion of a coronary artery caused either by progressive atherosclerosis or by a blood clot
lunar eclipse;the earth interrupts light shining on the moon
iteration;doing or saying again
prosecution;the continuance of something begun with a view to its completion
catastrophe;an event resulting in great loss and misfortune. 'the whole city was affected by the irremediable calamity'. 'the earthquake was a disaster'
outburst;"a sudden violent happening. 'an outburst of heavy rain'. 'a burst of lightning'"
driftage;the deviation (by a vessel or aircraft) from its intended course due to drifting
conjuncture;a critical combination of events or circumstances
fall of man;(old testament) in judeo-christian mythology--when adam and eve ate of the fruit of the tree of knowledge of good and evil in the garden of eden god punished them by driving them out of the garden and into the world where they would be subject to sickness and pain and eventual death
casualty;a decrease of military personnel or equipment
loss;euphemistic expressions for death. 'thousands mourned his passing'
undulation;(physics) a progressive disturbance propagated without displacement of the medium itself
nurture;the properties acquired as a consequence of the way you were treated as a child
continuation;"the act of continuing or resuming an activity"
vanishing;a sudden or mysterious disappearance
falling out;a personal or social separation (as between opposing factions). 'they hoped to avoid a break in relations'
combat injury;a casualty to military personnel resulting from combat
tribulation;an annoying or frustrating event. 'his mother-in-law's visits were a great trial for him'. 'life is full of tribulations'. 'a visitation of the plague'
start;"the beginning of anything. 'it was off to a good start'"
rush;a sudden burst of activity. 'come back after the rush'. 'he joined the gold rush'
breech birth;delivery of an infant whose feet appear first
poetic justice;an outcome in which virtue triumphs over vice (often ironically)
sympathetic vibration;(physics) vibration produced by resonance
cataplasia;(biology) degenerative reversion of cells or tissue to a less differentiated or more primitive form
divergence;a variation that deviates from the standard or norm. 'the deviation from the mean'
raising;the properties acquired as a consequence of the way you were treated as a child
failure;"an event that does not accomplish its intended purpose"
landmark;an event marking a unique or important historical change or one on which important developments depend
blackout;the failure of electric power for a general region
tumble;a sudden drop from an upright position. 'he had a nasty spill on the ice'
incident;"a single distinct event"
shrinkage;process or result of becoming less or smaller: 'the material lost 2 inches per yard in shrinkage'
diakinesis;the final stage of the prophase of meiosis
replay;something (especially a game) that is played again
variation;an instance of change. the rate or magnitude of change
resuscitation;a revival of consciousness
finish;the ending of a contest (as a race). 'it was an exciting finish'. 'i didn't stay for the close of the tournament'
shame;an unfortunate development. 'it's a pity he couldn't do it'
sacrifice;personnel that are sacrificed (e.g., surrendered or lost in order to gain an objective)
omega;the ending of a series or sequence. 'the alpha and the omega, the first and the last, the beginning and the end'--revelation
distortion;a change for the worse
epilepsia minor;a seizure (or a type of epilepsy characterized by such seizures) of short duration characterized by momentary unconsciousness and local muscle spasms or twitching
withering;any weakening or degeneration (especially through lack of use)
xt;the presence of an unwanted signal via an accidental coupling
smash;a serious collision (especially of motor vehicles)
eradication;the complete destruction of every trace of something
coup de theatre;a dramatic surprise
pinch;a sudden unforeseen crisis (usually involving danger) that requires immediate action. 'he never knew what to do in an emergency'
extermination;complete annihilation. 'they think a meteor cause the extinction of the dinosaurs'
regeneration;the activity of spiritual or physical renewal
appalling;an experience that appalls. 'is it better to view the appalling or merely hear of it?'
pass;a difficult juncture. 'a pretty pass'. 'matters came to a head yesterday'
monstrosity;something hideous or frightful. 'they regarded the atom bomb as a monstrosity'
pass;one complete cycle of operations (as by a computer). 'it was not possible to complete the computation in a single pass'
spot;a slight attack of illness. 'he has a touch of rheumatism'
walkaway;an easy victory
shipwreck;an irretrievable loss. 'that was the shipwreck of their romance'
bad luck;unnecessary and unforeseen trouble
small slam;winning all but one of the tricks in a hand of bridge
matter of course;an inevitable event
fortune;an unknown and unpredictable phenomenon that leads to a favorable outcome. 'it was my good luck to be there'. 'they say luck is a lady'. 'it was as if fortune guided his hand'
condensation;the process or result of becoming smaller or pressed together: 'the contraction of a gas on cooling'
ripple;(electronics) an oscillation of small amplitude imposed on top of a steady value
crosstalk;the presence of an unwanted signal via an accidental coupling
zygotene;the second stage of the prophase of meiosis
abrupt change;"some occurrence that interrupts. 'the telephone is an annoying interruption'. 'there was a break in the action when a player was hurt'"
appearance;"the event of coming into sight"
place;(in horse racing) a finish in second place
reversion;a reappearance of an earlier characteristic
dislocation;an event that results in a displacement or discontinuity
ordeal;a severe or trying experience
puncture;loss of air pressure in a tire when a hole is made by some sharp object
turkey;an event that fails badly or is totally ineffectual. 'the first experiment was a real turkey'. 'the meeting was a dud as far as new business was concerned'
sequella;a secondary consequence
paroxysm;a sudden uncontrollable attack. 'a paroxysm of giggling'. 'a fit of coughing'
seiche;a wave on the surface of a lake or landlocked bay. caused by atmospheric or seismic disturbances
denouement;the outcome of a complex sequence of events
wave;(physics) a progressive disturbance propagated without displacement of the medium itself
loss;military personnel lost by death or capture
seedtime;any time of new development
toss up;an unpredictable phenomenon. 'it's a toss-up whether he will win or lose'
ground loop;a sharp uncontrollable turn made by an airplane while moving along the ground
weakening;becoming weaker
extinction;complete annihilation. 'they think a meteor cause the extinction of the dinosaurs'
vibration;(physics) a regular variation in value about a mean
romp;an easy victory
cave in;the sudden collapse of something into a hollow beneath it
dwindling;a becoming gradually less. 'there is no greater sadness that the dwindling away of a family'
revitalization;the coming again into activity and prominence
neap tide;a less than average tide occurring at the first and third quarters of the moon
break;a personal or social separation (as between opposing factions). 'they hoped to avoid a break in relations'
stationary wave;a wave (as a sound wave in a chamber or an electromagnetic wave in a transmission line) in which the ratio of its instantaneous amplitude at one point to that at any other point does not vary with time
retrogression;passing from a more complex to a simpler biological form
standstill;an interruption of normal activity
fire;a severe trial. 'he went through fire and damnation'
phlegmasia alba dolens;painful thrombosis of the femoral vein in the leg following childbirth
aftermath;the outcome of an event especially as relative to an individual. 'that result is of no consequence'
beat;a single pulsation of an oscillation produced by adding two waves of different frequencies. has a frequency equal to the difference between the two oscillations
birthright;personal characteristics that are inherited at birth
finis;the concluding part of any performance
compaction;an increase in the density of something
independence;the successful ending of the american revolution. 'they maintained close relations with england even after independence'
metaphase;the second stage of meiosis
sign;an event that is experienced as indicating important things to come. 'he hoped it was an augury'. 'it was a sign from god'
apparition;an unexpected appearance or becoming visible. 'i was recalled to the present by the apparition of two cowboys riding toward me'
harm;the occurrence of a change for the worse
resurrection;revival from inactivity and disuse. 'it produced a resurrection of hope'
burst;"a sudden violent happening. 'an outburst of heavy rain'. 'a burst of lightning'"
moderation;a change for the better
casualty;an accident that causes someone to die
reiteration;doing or saying again
misadventure;an instance of misfortune
subsidence;the sudden collapse of something into a hollow beneath it
densification;an increase in the density of something
run;a row of unravelled stitches. 'she got a run in her stocking'
ebbtide;the tide while water is flowing out
curse;a severe affliction
mischance;an unpredictable outcome that is unfortunate. 'if i didn't have bad luck i wouldn't have any luck at all'
juncture;"an event that occurs at a critical time. 'at such junctures he always had an impulse to leave'. 'it was needed only on special occasions'"
occlusion;closure or blockage of a blood vessel
blow;an unpleasant or disappointing surprise. 'it came as a shock to learn that he was injured'. 'it was blow to their hopes of reconciliation'
twist;an unforeseen development. 'events suddenly took an awkward turn'
alpha;the beginning of a series or sequence. 'the alpha and omega, the first and the last, the beginning and the end'--revelations
occasion;"an event that occurs at a critical time. 'at such junctures he always had an impulse to leave'. 'it was needed only on special occasions'"
worst;the least favorable outcome. 'the worst that could happen'
breakup;coming apart
background noise;extraneous noise contaminating sound measurements that cannot be separated from the desired signal
duplicating;the act of duplicating something. 'this kind of duplication is wasteful'
safe period;that time during a woman's menstrual cycle during which conception is least likely to occur (usually immediately before of after menstruation)
episode;"a happening that is distinctive in a series of related events"
doom;an unpleasant or disastrous destiny. 'everyone was aware of the approaching doom but was helpless to avoid it'
accommodation;making or becoming suitable. adjusting to circumstances
checkmate;victory in a game of chess
springtide;a greater than average tide occurring during the new and full moons
syncope;a spontaneous loss of consciousness caused by insufficient blood to the brain
high water;the tide when the water is highest
replay;(television) showing again some action (especially sports action) that has been recorded on video tape
neap;a less than average tide occurring at the first and third quarters of the moon
kickoff;a start given to contestants. 'i was there with my parents at the kickoff'
fiasco;a sudden and violent collapse
recursion;(mathematics) an expression such that each term is generated by repeating a particular mathematical operation
attenuation;weakening in force or intensity: 'attenuation in the volume of the sound'
hazard;an unknown and unpredictable phenomenon that causes an event to result one way rather than another. 'bad luck caused his downfall'. 'it was a chance meeting'
co occurrence;"an event or situation that happens at the same time as or in connection with another"
population shift;a change in the relative numbers of the different groups of individuals making up a population
equipment failure;a cessation of normal operation. 'there was a power failure'
menstrual phase;the phase of the menstrual cycle during which the lining of the uterus is shed (the first day of menstrual flow is considered day 1 of the menstrual cycle)
thromboembolism;occlusion by an embolus that has broken away from a thrombus
turning point;an event marking a unique or important historical change or one on which important developments depend
anaphase;the stage of meiosis or mitosis when chromosomes move toward opposite ends of the nuclear spindle
sparkling;a rapid change in brightness
petit mal;a seizure (or a type of epilepsy characterized by such seizures) of short duration characterized by momentary unconsciousness and local muscle spasms or twitching
hurt;a damage or loss
contagion;an incident is which an infectious disease is transmitted
overturning;(nautical) the event of a boat accidentally turning over in the water
triumph;a successful ending of a struggle or contest. 'the general always gets credit for his army's victory'. 'the agreement was a triumph for common sense'
wrecking;the event of a structure being completely demolished and leveled
derailment;an accident in which a train runs off its track
emergency;a sudden unforeseen crisis (usually involving danger) that requires immediate action. 'he never knew what to do in an emergency'
pulse;the rhythmic contraction and expansion of the arteries with each beat of the heart. 'he could feel the beat of her heart'
resurgence;the coming again into activity and prominence
inheritance;"any attribute that passes from parent to offspring"
vanity fair;a vain and frivolous way of life especially in large cities (after a fair held in the town of vanity in pilgrim's progress)
maiming;an injury that deprives you of a limb or other important body part
opening;the first performance (as of a theatrical production). 'the opening received good critical reviews'
throb;an instance of rapid strong pulsation (of the heart). 'he felt a throbbing in his head'
transmutation;a qualitative change
laugher;an easy victory
happenstance;an event that might have been arranged although it was really accidental
win;a finish in first place (as in a race or other competition). 'he was happy to get the win'
pin;when a wrestler's shoulders are forced to the mat
break;"some occurrence that interrupts. 'the telephone is an annoying interruption'. 'there was a break in the action when a player was hurt'"
tin plague;the transformation of ordinary white tin into powdery gray tin a very cold temperatures
engine failure;engine does not run
course;"a mode of action. 'if you persist in that course you will surely fail'"
nascence;the event of being born. 'they celebrated the birth of their first child'
shock;an unpleasant or disappointing surprise. 'it came as a shock to learn that he was injured'. 'it was blow to their hopes of reconciliation'
vis major;a natural and unavoidable catastrophe that interrupts the expected course of events. 'he discovered that his house was not insured against acts of god'
fadeout;a slow or gradual disappearance
dynamic headroom;the capacity of a system to reproduce loud sounds without distortion
variant;an event that departs from expectations
touch;a slight attack of illness. 'he has a touch of rheumatism'
algorithmic rule;a precise rule (or set of rules) specifying how to solve some problem
easing;a change for the better
reward;a recompense for worthy acts or retribution for wrongdoing. 'the wages of sin is death'. 'virtue is its own reward'
pulsation;(electronics) a sharp transient wave in the normal electrical state (or a series of such transients). 'the pulsations seemed to be coming from a star'
anxiety attack;a sudden acute episode of intense anxiety and feelings of panic
sunrise;the daily event of the sun rising above the horizon
birthright;a right or privilege that you are entitled to at birth. 'free public education is the birthright of every american child'
avalanche;"a sudden appearance of an overwhelming number of things. 'the program brought an avalanche of mail'"
going;euphemistic expressions for death. 'thousands mourned his passing'
pyrrhic victory;a victory that is won by incurring terrible losses
fortune;an unknown and unpredictable phenomenon that causes an event to result one way rather than another. 'bad luck caused his downfall'. 'it was a chance meeting'
concussion;injury to the brain caused by a blow. usually resulting in loss of consciousness
rising tide;the occurrence of incoming water (between a low tide and the following high tide)
interruption;"some occurrence that interrupts. 'the telephone is an annoying interruption'. 'there was a break in the action when a player was hurt'"
onset;the beginning or early stages. 'the onset of pneumonia'
