tightfistedness;extreme stinginess
illicitness;the quality of not conforming strictly to law
noxiousness;the quality of being noxious
chronological sequence;a following of one thing after another in time. 'the doctor saw a sequence of patients'
correctness;conformity to social expectations
immutableness;the quality of being incapable of mutation
whip hand;position of advantage and control
deliberation;a rate demonstrating an absence of haste or hurry
boorishness;the manner of a rude or insensitive person
celerity;a rate that is rapid
audacity;fearless daring
carefulness;the quality of being careful and painstaking. 'i admired the carefulness of his work'
majesty;impressiveness in scale or proportion
way;a manner of performance. 'a manner of living'. 'in the characteristic new york style'. 'a way of life'
somberness;a manner that is serious and solemn
incaution;the trait of forgetting or ignoring possible danger
mark of cain;the mark that god set upon cain now refers to a person's sinful nature
self gratification;indiscipline with regard to sensuous pleasures
softness;the property of giving little resistance to pressure
commonness;sharing of common attributes
lordliness;overbearing pride evidenced by a superior manner toward inferiors
curve;the property possessed by the curving of a line or surface
reputability;honorableness by virtue of being respectable and having a good reputation
disposal;the power to use something or someone: 'used all the resources at his disposal'
shrillness;having the timbre of a loud high-pitched sound
cussedness;mean-spirited disagreeable contrariness
permanency;the property of being able to exist for an indefinite durationthe property of being able to exist for an indefinite duration
fatuity;a ludicrous folly. 'the crowd laughed at the absurdity of the clown's behavior'
acrimony;a sharp and bitter manner
errancy;a tendency to err
adynamia;lack of strength or vigor esp from illness
atrociousness;the quality of being shockingly cruel and inhumane
disdainfulness;the trait of displaying arrogance by patronizing those considered inferior
primness;excessive or affected modesty
gouge;an impression in a surface (as made by a blow)
unsteadiness;the quality of being unsteady--varying and irregular
stability;the quality or attribute of being stable
cogency;the quality of being logically valid
severeness;extreme plainness
conventionality;orthodoxy as a consequence of being conventional
signal level;the amplitude level of the desired signal
temporal property;a property relating to time
desperation;desperate recklessness. 'it was a policy of desperation'
start;advantage gained by an early start as in a race: 'with an hour's start he will be hard to catch'
recentness;the property of having happened or appeared not long ago
meaningfulness;the quality of having great value or significance
spiciness;the property of being seasoned with spice and so highly flavored
elusiveness;the quality of being difficult to grasp or pin down: 'the author's elusiveness may at times be construed as evasiveness'
impudence;the trait of being rude and impertinent. inclined to take liberties
incandescence;light from heat
knight errantry;quixotic (romantic and impractical) behavior
unhelpfulness;an inability to be helpful
envelope;the maximum operating capability of a system. 'test pilots try to push the envelope'
pudginess;the property of having a plump and round body
emphasis;intensity or forcefulness of expression: 'the vehemence of his denial' or 'his emphasis on civil rights'
acidity;the sharp taste of something acidic (as vinegar or lemon juice)
quarto;the size of a book whose pages are made by folding a sheet of paper twice to form four leaves
somatotype;a category of physique
slowness;a rate demonstrating an absence of haste or hurry
whimsey;the trait of acting more from whim or caprice than from reason or judgment
purview;the range of interest or activity that can be anticipated. 'it is beyond the horizon of present knowledge'
bibliomania;preoccupation with the acquisition and possession of books
patriotism;love of country and willingness to sacrifice for it
rarity;noteworthy scarcity
right;anything in accord with principles of justice. 'he feels he is in the right'. 'the rightfulness of his claim'
staginess;an artificial and mannered quality
bumpiness;the texture of a surface that has many bumps
sexual morality;morality with respect to sexual relations
boyishness;being characteristic of a boy
glamor;alluring beauty or charm (often with sex-appeal)
unreality;the quality possessed by something that is unreal
fattiness;having the property of containing fat. 'he recommended exercise to reduce my adiposity'
sliminess;a property resembling or being covered with slime
academicism;orthodoxy of a scholastic variety
rankness;the attribute of having a strong offensive smell
romanticism;an exciting and mysterious quality (as of a heroic time or adventure)
combining weight;the atomic weight of an element that has the same combining capacity as a given weight of another element. the standard is 8 for oxygen
quirk;a strange attitude or habit
lifeblood;an essential or life-giving force. 'water is the lifeblood of india'
egocentrism;attempting to get personal recognition for yourself (especially by unacceptable means)
verdancy;lush greenness of flourishing vegetation
grace;a disposition to kindness and compassion. benign good will: 'the victor's grace in treating the vanquished'
splotch;an irregularly shaped spot
grip;a firm controlling influence. 'he was in the grip of a powerful emotion' or 'a terrible power had her its grasp'
condescension;the trait of displaying arrogance by patronizing those considered inferior
unpredictability;the trait of being unpredictably irresolute
profaneness;unholiness by virtue of being profane
felicitousness;pleasing and appropriate manner or style esp of expression
severity;used of the degree of something undesirable e.g. pain or weather
convertibility;the quality of being exchangeable (esp the ability to convert a currency into gold or other currencies without restriction)
tardiness;the quality or habit of not adhering to a correct or usual or expected time
sorriness;worthlessness due to insignificance
personal appeal;a personal attractiveness that enables you to influence others
biomass;the total mass of living matter in a given unit area
quantifiability;the quality of being measurable
sm;a master's degree in science
enjoyableness;pleasantness resulting from something that can be enjoyed. 'the enjoyableness of an afternoon at the beach'
rascality;the quality of being a slippery rascal
bone;a shade of white the color of bleached bones
dishonesty;the quality of being dishonest
undiscipline;the trait of lacking discipline
keenness;thinness of edge or fineness of point
lazuline;a light shade of blue
indigo;a blue-violet color
dissimilitude;dissimilarity evidenced by an absence of likeness
dead hand of the past;the oppressive influence of past events of decisions
elan;enthusiastic and assured vigor and liveliness. 'a performance of great elan and sophistication'
rhythmicity;the rhythmic property imparted by the accents and relative durations of notes in a piece of music
spiciness;behavior or language bordering on indelicacy
validity;the quality of having legal force or effectiveness
amity;a cordial disposition
allusiveness;a quality characterized by indirect reference
audibility;quality or fact or degree of being audible or perceptible by the ear
mark;an indication of damage
pliancy;the quality of being easily adaptable
stability;the quality of being free from change or variation
carriage;characteristic way of bearing one's body: 'stood with good posture'
obstinacy;resolute adherence to your own ideas or desires
gross domestic product;measure of the us economy adopted in 1991. the total market values of goods and services by produced by workers and capital within the us borders during a given period (usually 1 yr)
size;the physical magnitude of something (how big it is). 'a wolf is about the size of a large dog'
apparentness;the property of being apparent
fixity;the quality of being fixed in place
optimism;a general disposition to expect the best in all things
fecklessness;worthlessness due to being feeble and ineffectual
otherworldliness;concern with things of the spirit
bulkiness;an unwieldy largeness
legibility;distinctness that makes perception easy
vulgarity;the quality of lacking taste and refinement
identity;exact sameness. 'they shared an identity of interests'
compressibility;the property of being able to occupy less space
unison;two or more sounds or tones at the same pitch or in octaves: 'singing in unison'
straightness;of hair: lack of a tendency to curl
permeableness;the property of something that can be pervaded by a liquid (as by osmosis or diffusion)
skewness;an oblique or slanting asymmetry
outspokenness;the trait of being blunt and outspoken
responsibility;ability or necessity to answer for or be responsible for one's conduct. 'he holds a position of great responsibility'. 'young children on a farm are often given responsibilities'
globosity;the roundness of a 3-dimensional object
crumbliness;excessive breakableness
aloneness;a disposition toward being alone
real gross national product;a version of the gnp that has been adjusted for the effects of inflation
antenna;sensitivity similar to that of a receptor organ. 'he had a special antenna for public relations'
disagreeableness;the quality of being disagreeable. and unpleasant
stypsis;the ability to contract or draw together soft body tissues to check blood flow or restrict secretion of fluids
suavity;smooth and gracious in manner
splendor;the quality of being magnificent or splendid or grand
unevenness;a quality of variability and lack of uniformity
benefit;something that aids or promotes well-being: 'for the common good'
heedfulness;the trait of staying aware of (paying close attention to) your responsibilities
gentleness;mildness of manner or disposition
self acceptance;an acceptance of yourself as you are, warts and all
belligerence;a disposition to fight
spaciousness;spatial largeness (especially inside a building)
shallowness;the quality of lacking physical depth: 'take into account the shallowness at that end of the pool before you dive'
skin color;the coloring of a person's face
highlight;an area of lightness in a picture
light;the visual effect of illumination on objects or scenes as created in pictures. 'he could paint the lightest light and the darkest dark'
cunning;drafty artfulness (especially in deception)
manageability;capable of being managed or controlled
old gold;a dark yellow
comradery;the quality of affording easy familiarity and sociability
charcoal grey;a very dark gray color
resplendency;brilliant radiant beauty. 'the glory of the sunrise'
indispensability;the quality possessed by something that you cannot possibly do without
conformity;correspondence in form or appearance
fickleness;unfaithfulness by virtue of being unreliable or treacherous
frequency response;(electronics) a response depicting the output-to-input ratio of a transducer as a function of frequency
fealty;the loyalty that citizens owe to their country (or subjects to their sovereign)
lissomeness;the gracefulness of a person or animal that is flexible and supple
excess;immoderation as a consequence of going beyond sufficient or permitted limits
animalism;preoccupation with satisfaction of physical drives and appetites
positivism;a quality or state characterized by certainty or acceptance or affirmation
alikeness;similarity in appearance or character or nature between persons or things: 'man created god in his own likeness'
gracility;elegance and beauty of movement or expression
amenableness;the trait of being cooperative
translucency;the quality of allowing light to pass diffusely
facility;a natural effortlessness. 'a happy readiness of conversation'--jane austen
swelled head;an exaggerated opinion of your own importance
obsequiousness;abject or cringing submissiveness
fastidiousness;the trait of being meticulous about matters of taste or style. 'neatness and fastidiousness of dress'
fearlessness;the trait of feeling no fear
unsuitability;the quality of having the wrong properties for a specific purpose
whiteness;the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black)
toll;value measured by what must be given or done or undergone to obtain something: 'the cost in human life was enormous'. 'the price of success is hard work'. 'what price glory?'
virtue;the quality of doing what is right and avoiding what is wrong
raise;the amount a salary is increased. 'he got a raise'. 'he got a wage hike'
impetuosity;rash impulsiveness
achromatic color;a color lacking hue. white or gray or black
woodgraining;a texture like that of wood
lopsidedness;an oblique or slanting asymmetry
courtliness;elegance suggestive of a royal court
doctor of theology;a doctor's degree in theology
momentousness;utmost importance
curliness;of hair: a tendency to curl
infallibility;the quality of never making an error
repulsiveness;the quality of being disgusting to the senses or emotions
dissolubility;the property of being dissoluble. 'he measure the dissolubility of sugar in water'
improbability;the quality of being improbable
fatality;the quality of being able to cause death or fatal disasters
burdensomeness;unwelcome burdensome difficulty
degree;the seriousness of something (e.g., a burn or crime). 'murder in the second degree'. 'a second degree burn'
bounty;the property of copious abundance
dignity;formality in bearing and appearance: 'he behaved with great dignity'
sedulity;the quality of constantly diligent and attentive
inexpedience;the quality of being unsuited to the end in view
charity;a kindly and lenient attitude toward people
maximum;the greatestest possible degree. 'he tried his utmost'
heinousness;the quality of being shockingly cruel and inhumane
instrumentality;the quality of being instrumental for some purpose
master of education;a master's degree in education
decorativeness;an appearance that serves to decorate and make something more attractive
aimlessness;the quality of lacking any definite purpose
brass;impudent aggressiveness. 'i couldn't believe her boldness'. 'he had the effrontery to question my honesty'
beneficence;the quality of being kind or helpful or generous
methodicalness;the quality of appreciating method and system
niggardness;extreme stinginess
blemish;a mark or flaw that spoils the appearance of something (especially on a person's body)
factualness;the quality of being actual or based on fact. 'the realm of factuality must be distinguished from the realm of imagination'
totality;the quality of being complete and indiscriminate: 'the totality of war and its consequences'. 'the all-embracing totality of the state'
uncouthness;inelegance by virtue of being an uncouth boor
scintillation;the quality of glittering or sparkling brightly
trueness;exactness of adjustment. 'i marveled at the trueness of his aim'
attribute;an abstraction belonging to or characteristic of an entity
luster;a surface coating for ceramics or porcelain
ill will;a hostile (very unfriendly) disposition. 'he could not conceal his hostility'
meq;one-thousandth of an equivalent
texture;the feel of a surface or a fabric. 'the wall had a smooth texture'
immortality;the quality or state of being immortal
complexion;the coloring of a person's face
vicissitude;mutability in life or nature (especially successive alternation from one condition to another)
wilfulness;the trait of being prone to disobedience and lack of discipline
military capability;capability in terms of personnel and materiel. 'we faced an army of great strength'
left handedness;preference for using the left hand
fewness;the quality of being small in number
insufficiency;lack of an adequate quantity or number. 'the inadequacy of unemployment benefits'
painstakingness;the trait of being painstaking and careful
dulness;the quality of lacking interestingness
unvariedness;characterized by an absence of variation
boiling point;being highly angry or excited. ready to boil over. 'after an hour of waiting i was at the boiling point'
patience;good-natured tolerance of delay or incompetence
puce;a color varying from dark purplish brown to dark red
stylishness;elegance by virtue of being fashionable
head start;advantage gained by an early start as in a race: 'with an hour's start he will be hard to catch'
superiority;the quality of being a competitive advantage
plenitude;a full supply. 'there was plenty of food for everyone'
translucence;the quality of allowing light to pass diffusely
peach;a shade of pink tinged with yellow
overkill;the capability to obliterate a target with more weapons (especially nuclear weapons) that are required
antagonism;being an opposing principle or force or factor: 'inherent antagonism of capitalism and socialism'
ab;a bachelor's degree in arts and sciences
lustiness;the property of strong in constitution
tact;consideration in dealing with others and avoiding giving offence
mb;(a british degree) a bachelor's degree in medicine
crotchetiness;a fussy and eccentric disposition
coverage;the extent to which something is covered. 'the dictionary's coverage of standard english is excellent'
indifference;the trait of remaining calm and seeming not to care. a casual lack of concern
swiftness;a rate (usually rapid) at which something happens. 'the project advanced with gratifying speed'
ungraciousness;an offensive lack of good manners
divergence;a difference between conflicting facts or claims or opinions. 'a growing divergence of opinion'
appeal;attractiveness that interests or pleases or stimulates
ambit;an area in which something acts or operates or has power or control: 'the range of a supersonic jet'. 'the ambit of municipal legislation'. 'within the compass of this article'. within the scope of an investigation'. 'outside the reach of the law'. 'in the political orbit of a world power'
contemplativeness;deep serious thoughtfulness
symmetry;(mathematics) an attribute of a shape. exact correspondence of form on opposite sides of a dividing line or plane
pomposity;lack of elegance as a consequence of pomposity
head voice;the higher ranges of the voice in speaking or singing. the vibrations of sung notes are felt in the head
quantity;an adequate or large amount. 'he had a quantity of ammunition'
age;how long something has existed. 'it was replaced because of its age'
deceleration;decrease in velocity
unfitness;lacking the power to perform
thm;a master's degree in theology
strawberry mark;a soft red birthmark
blandness;lacking any distinctive or interesting taste property
master of literature;a master's degree in literature
unjustness;the practice of being unjust or unfair
squatness;the property of being short and broad
seediness;a lack of elegance as a consequence of wearing threadbare or dirty clothing
inflexibleness;a lack of physical flexibility
crimson;a deep and vivid red
airiness;lightness in movement or manner
appropriateness;the quality of being specially suitable
rigour;something hard to endure. 'the asperity of northern winters'
completeness;(logic) an attribute of a logical system that is so constituted that a contradiction arises if any proposition is introduced that cannot be derived from the axioms of the system
congregationalism;system of beliefs and church government of a protestant denomination in which each member church is self-governing
richness;the property of a sound that has a rich and pleasing timbre
chance;a measure of how likely it is that some event will occur. 'what is the probability of rain?'. 'we have a good chance of winning'
loftiness;the condition of being high or lofty
force;physical energy or intensity: 'he hit with all the force he could muster'. 'it was destroyed by the strength of the gale'. 'a government has not the vitality and forcefulness of a living man'
luridness;unnatural lack of color in the skin (as from bruising or sickness or emotional distress)
tat;tastelessness by virtue of being cheap and vulgar
pleasingness;pleasant palatability
breakableness;the consistency of something that breaks under pressure
invariableness;the quality of being resistant to variation
mesomorphy;muscular and big-boned
oddity;a strange attitude or habit
offensiveness;the quality of being offensive
irreversibility;the quality of being irreversible (once done it cannot be changed)
amplitude;greatness of magnitude
correctitude;correct or appropriate behavior
bns;a bachelor's degree in naval science
brahminism;the religious beliefs of ancient india as prescribed in the sacred vedas and brahmanas and upanishads
gumminess;the property of being cohesive and sticky
radiance;the quality of being bright and sending out rays of light
freshness;the property of being pure and fresh (as if newly made). not stale or deteriorated. 'she loved the freshness of newly baked bread'. 'the freshness of the air revived him'
apathy;the trait of lacking enthusiasm for or interest in things generally
slur;a blemish made by dirt. 'he had a smudge on his cheek'
crankiness;a fussy and eccentric disposition
stiffness;the property of moving with pain or difficulty. 'he awoke with a painful stiffness in his neck'
garishness;strident color or excessive ornamentation
opportunism;taking advantage of opportunities without regard for the consequences for others
unlikeliness;the improbability of a specified outcome
sourness;the sharp taste of something acidic (as vinegar or lemon juice)
protraction;the consequence of being lengthened in duration
irregularity;not characterized by a fixed principle or rate. at irregular intervals
inconsideration;the quality of failing to be considerate of others
sand;(informal) fortitude. 'he didn't have the guts to try it'
stranglehold;complete power over a person or situation
lifelessness;not having life
minginess;extreme stinginess
ferociousness;the trait of extreme cruelty
inconstancy;the quality of being changeable and variable
hotness;the presence of heat
stretchability;the capacity for being stretched
pep;liveliness and energy. 'this tonic is guaranteed to give you more pep'
obliqueness;the quality of being oblique and rambling indirectly
matter;(used with negation) having consequence. 'they were friends and it was no matter who won the games'
politeness;a courteous manner that respects accepted social usage
spontaneity;the quality of being spontaneous and coming from natural feelings without constraint. 'the spontaneity of his laughter'
frugality;prudence in avoiding waste
impreciseness;the quality of lacking precision
chasteness;lack of ornamentation
majority;the property resulting from being or relating to the greater in number of two parts. the main part. 'the majority of his customers prefer it'. 'the bulk of the work is finished'
mithraicism;ancient persian religion. popular among romans during first three centuries a.d.
obliqueness;the property of being neither parallel nor perpendicular, but at a slanting angle
crispness;firm but easily broken
deliberateness;a rate demonstrating an absence of haste or hurry
ill nature;a disagreeable, irritable, or malevolent disposition
voluminousness;greatness of volume
despicableness;unworthiness by virtue of lacking higher values
artlessness;the quality of innocent naivete
firmness;the firmness and tone of healthy tissue: 'his muscle firmness'
navy blue;a dark shade of blue
charitableness;generosity as manifested by practicing charity (as for the poor or unfortunate)
sedulousness;the quality of constantly diligent and attentive
bedside manner;manner or conduct of a physician in the presence of a patient
energy;enterprising or ambitious drive. 'europeans often laugh at american energy'
irrepressibility;irrepressible liveliness and good spirit. 'i admired his bouyancy and persistent good humor'
determinateness;the quality of being predictable with great confidence
errancy;(christianity) holding views that disagree with accepted doctrine
modestness;the property of being moderate in price. 'the store is famous for the reasonableness of its prices'
aa;an associate degree in arts
beam;breadth amidships
wiseness;the trait of utilizing knowledge and experience with common sense and insight
impracticability;the quality of not being usable
fly in the ointment;an inconvenience that detracts from the usefulness of something
duress;compulsory force or threat. 'confessed under duress'
refuge;something or someone turned to for assistance or security: 'his only recourse was the police'. 'took refuge in lying'
judiciousness;the mental ability to form an opinion by distinguishing and evaluating
harvest moon;the full moon nearest the september equinox
complexity;the quality of being intricate and compounded. 'he enjoyed the complexity of modern computers'
unavailability;the quality of not being unavailable when needed
lilt;a jaunty rhythm in music
pagan religion;any of various religions other than christianity or judaism or islamism
breeziness;a breezy liveliness. 'a delightful breeziness of manner'
heaviness;used of a line or mark
speed;a rate (usually rapid) at which something happens. 'the project advanced with gratifying speed'
sportsmanship;fairness in following the rules of the game
simultaneousness;happening or existing or done at the same time
creaminess;the property of having the thickness of heavy cream
decorousness;propriety in manners and conduct
fugacity;(chemistry) the tendency of a gas to expand or escape
querulousness;the quality of being given to complaining
oddity;eccentricity that is not easily explained
flaccidity;a flabby softness
massiveness;the property of being large in mass
sleaze;tastelessness by virtue of being cheap and vulgar
darn;something of little value. 'it is not worth a damn'. 'not worth shucks'
jugular;a vital part that is vulnerable to attack. 'he always goes for the jugular'
wariness;the trait of being cautious and watchful
say so;the power to exercise authoritative or dominating control or influence over. 'he has the authority to issue warrants'
crudeness;an unpolished unrefined quality. 'the crudeness of frontier dwellings depressed her'
mischievousness;the trait of behaving like an imp
dirtiness;obscenity in speech or writing
embonpoint;the bodily property of being well rounded
pliability;the quality of being easily adaptable
bachelor of arts in nursing;a bachelor's degree in nursing
sobriety;a manner that is serious and solemn
vehemence;the property of being wild or turbulent. 'the storm's violence'
disagreement;a difference between conflicting facts or claims or opinions. 'a growing divergence of opinion'
depth;degree of psychological or intellectual depth
finishing;a decorative texture or appearance of a surface. 'the boat had a metallic finish'
validness;the quality of having legal force or effectiveness
jactation;(pathology) extremely restless tossing and twitching usually by a person with a severe illness
tawdriness;tasteless showiness
ease;freedom from constraint or embarrassment. 'i am never at ease with strangers'
delinquency;a tendency to be negligent and uncaring. 'he inherited his delinquency from his father'. 'his derelictions were not really intended as crimes'. 'his adolescent protest consisted of willful neglect of all his responsibilities'
prominence;relative importance
amount;how much of something is available. 'an adequate amount of food for four people'
hollowness;the property of having a sunken area
excessiveness;immoderation as a consequence of going beyond sufficient or permitted limits
inadequacy;lack of an adequate quantity or number. 'the inadequacy of unemployment benefits'
maceration;leanness (usually caused by starvation)
gauntness;leanness (usually caused by starvation)
shaktism;worship of shakti as the wife of shiva
currency;general acceptance or use: 'the currency of ideas'
master of science;a master's degree in science
tenderness;a tendency to express warm and affectionate feeling
vitality;the property of being able to survive and grow. 'the vitality of a seed'
peculiarity;a distinguishing trait
haphazardness;the quality of lacking any predictable order or plan
facetiousness;playful humor
poignancy;a quality that arouses emotions (especially pity or sorrow). 'the film captured all the pathos of their situation'
indecorum;a lack of decorum
nature;the essential qualities or characteristics by which something is recognized. 'it is the nature of fire to burn'
perdurability;the property of being extremely durable
suspiciousness;being of a suspicious nature. 'his suspiciousness destroyed his marriage'
lineament;"a characteristic property that defines the apparent individual nature of something. 'each town has a quality all its own'. 'the radical character of our demands'"
conscience;conformity to one's own sense of right conduct: 'a person of unflagging conscience'
persistence;the property of a continuous and connected period of time
demerit;the quality of being faulty or inadequate. 'they discussed the merits and demerits of her novel'
imprudence;a lack of caution in practical affairs
animal nature;the physical (or animal) side of a person as opposed to the spirit or intellect
hideousness;extreme ugliness
obviousness;the property of being easy to see and understand
daring;the trait of being willing to undertake things that involve risk or danger. 'the proposal required great boldness'
frothiness;the property of giving off bubbles
curvature;the property possessed by the curving of a line or surface
silver grey;a light shade of gray
superficies;the purely external aspect of a thing. superficial appearance: 'the audience was held by the substance of the play rather than by the superficies of the production'-r.w.speaight
behalf;for someone's advantage or benefit (usually expressed as 'in behalf' rather than 'on behalf' and usually with a possessive): 'in your behalf'. 'campaigning in his own behalf'. 'spoke a good word in his friend's behalf'
glamour;alluring beauty or charm (often with sex-appeal)
adorability;extreme attractiveness
apricot;a shade of pink tinged with yellow
judgment;the capacity to assess situations or circumstances shrewdly and to draw sound conclusions
procrastination;slowness as a consequence of not getting around to it
rastafarianism;belief in ras tafari (haile selassie of ethiopia) as the messiah and that africa (especially ethiopia) is the promised land
parallelism;similarity by virtue of correspondence
dissimilarity;the quality of being dissimilar
uniformness;the quality of lacking diversity or variation (even to the point of boredom)
physiology;processes and functions of an organism
gender;the properties that distinguish organisms on the basis of their reproductive roles. 'she didn't want to know the sex of the foetus'
soupiness;the property of having the thickness of heavy cream
manner;a way of acting or behaving
pluck;the trait of showing courage and determination in spite of possible loss or injury
chariness;the trait of being cautious and watchful
misanthropy;a disposition to dislike and mistrust other people
awkwardness;the carriage of someone whose movements and posture are ungainly or inelegant
favor;an advantage to the benefit of someone or something. 'the outcome was in his favor'
rashness;the trait of acting rashly and without prudence
oxford grey;a very dark gray color
languor;an unusual lack of energy
twang;exaggerated nasality in speech (as in some regional dialects)
plausibility;apparent validity
sincerity;the trait of being serious. 'a lack of solemnity is not necessarily a lack of seriousness'- robert rice
overcredulity;too much credulity
attentiveness;the trait of being considerate and thoughtful of others
dullness;the quality of lacking interestingness
plenteousness;a full supply. 'there was plenty of food for everyone'
gravitational mass;(physics) the mass of a body as measured by its gravitational attraction for other bodies
egoism;attempting to get personal recognition for yourself (especially by unacceptable means)
two dimensionality;the property of having two dimensions
weak part;a place of especial vulnerability
wisdom;the quality of being prudent and sensible
fineness;the property of being very narrow or thin. 'he marvelled at the fineness of her hair'
idealism;impracticality by virtue of thinking of things in their ideal form rather than as they really are
lengthiness;the consequence of being lengthened in duration
informality;a manner that does not take forms and ceremonies seriously
inessentiality;not of baic importance
wantonness;the quality of being lewd and lascivious
thickness;resistance to flow
detergency;the quality of having cleansing power
qualification;an attribute that fits a person for something: 'her qualifications for the job are excellent'. 'one of the qualifications for admission is an academic degree'
opalescence;the visual property of something having a milky brightness
presence of mind;self-control in a crisis. ability to say or do the right thing in an emergency
unwieldiness;trouble in carrying or managing caused by bulk or shape: 'the movers cursed the unwieldiness of the big piano'
indigestibility;the property of being difficult to digest
muddiness;the quality of being cloudy
mormonism;the doctrines and practices of the mormon church based on the book of mormon
christian science;religious system based on teachings of mary baker eddy emphasizing spiritual healing
approach;a close approximation. 'the nearest approach to genius'
chronological succession;a following of one thing after another in time. 'the doctor saw a sequence of patients'
wideness;the property of having width
ineligibility;the quality or state of being ineligible
capaciousness;spatial largeness (especially inside a building)
coincidence;the temporal property of two things happening at the same time. 'the interval determining the coincidence gate is adjustable'
sandiness;a texture resembling that of sand
complex instruction set computing;(computer science) a kind of computer architecture that has a large number of instructions hard coded into the cpu chip
lyricism;unrestrained and exaggerated enthusiasm
unadaptability;the inability to change or be changed to fit changed circumstances
face;the expression on a person's face. 'a sad expression'. 'a look of triumph'. 'an angry face'
opportuneness;timely convenience
height;the vertical dimension of extension. distance from the base of something to the top
certainty;something that is certain. 'his victory is a certainty'
role;what something is used for. 'the function of an auger is to bore holes'. 'ballet is beautiful but what use is it?'
cut rate;a price below the standard price
inexplicitness;unclearness by virtue of not being explicit
poorness;less than adequate. 'the relative poorness of new england farmland'
lithotomy position;a position lying on your back with knees bent and thighs apart. assumed for vaginal or rectal examination
tractableness;the trait of being easily persuaded
grade;a position on a scale of intensity or amount or quality: 'a moderate degree of intelligence'. 'a high level of care is required'. 'it is all a matter of degree'
interestingness;the power of attracting or holding one's interest (because it is unusual or exciting etc.). 'they said nothing of great interest'. 'primary colors can add interest to a room'
surliness;a disposition to exhibit uncontrolled anger. 'his temper was well known to all his employees'
objectionableness;the quality of being hateful
esprit;liveliness of mind or spirit
discipline;the trait of being well behaved. 'he insisted on discipline among the troops'
buff;a medium to dark tan color
inadequacy;unsatisfactoriness by virtue of being inadequate
iron mould;a spot caused the staining with rust or ink
juiciness;a juicy appetizingness
inhospitableness;an inhospitable disposition
fairness;conformity with rules or standards. 'the judge recognized the fairness of my claim'
gentility;elegance by virtue of fineness of manner and expression
evanescence;the property of lasting for a very short time
tattletale grey;a grayish white
bawdiness;the trait of behaving in an obscene manner
lawfulness;the quality of conforming to law
congruity;the quality of agreeing. being suitable and appropriate
characteristic;a distinguishing quality
tax boost;the amount by which taxes are increased. 'a tax increase of 15 percent'
aggressiveness;the quality of being bold and enterprising
hemangioma simplex;a soft red birthmark
prevalence;the quality of prevailing generally. being widespread. 'the prevalence of dysentery is horrible'
opaqueness;the quality of being opaque to a degree. the degree to which something reduces the passage of light
saffron;a shade of yellow tinged with orange
mum;secrecy. 'mum's the word'
inexpediency;the quality of being unsuited to the end in view
acceptableness;satisfactoriness by virtue of conforming to approved standards
fugacity;the lack of enduring qualities (used chiefly of plant parts)
petite;a garment size for short or slender women
neighborliness;a disposition to be friendly and helpful to neighbors
brackishness;the saltiness of water
self respect;the quality of being worthy of esteem or respect: 'it was beneath his dignity to cheat'. 'showed his true dignity when under pressure'
glaze;coating for fabrics, ceramics, metal, etc.
puissance;power to influence or coerce. 'the puissance of the labor vote'
boniness;leanness (usually caused by starvation)
fuzziness;the quality of being indistinct
liquidness;the property of flowing easily
fineness;the quality of being beautiful and delicate in appearance. 'the daintiness of her touch'. 'the fineness of her features'
winsomeness;childlike charm or appeal
solferino;a purplish pink dye was discovered in 1859, the year a battle was fought at solferino
deadness;the inanimate property of something that has died
sharpness;the attribute of urgency. 'his voice had an edge to it'
plainness;the appearance of being plain and unpretentious
compatibility;capability of existing or performing in harmonious or congenial combination
neglect;the trait of neglecting responsibilities and lacking concern
dearness;the quality possessed by something with a great price or value
uncleanliness;lack of cleanly habits
helpfulness;friendliness evidence by a kindly and helpful disposition
pelting;anything happening rapidly or in quick successive. 'a rain of bullets'. 'a pelting of insults'
orbit;an area in which something acts or operates or has power or control: 'the range of a supersonic jet'. 'the ambit of municipal legislation'. 'within the compass of this article'. within the scope of an investigation'. 'outside the reach of the law'. 'in the political orbit of a world power'
daintiness;the quality of being beautiful and delicate in appearance. 'the daintiness of her touch'. 'the fineness of her features'
parsiism;zoroastrian sect in india
insipidness;lacking any distinctive or interesting taste property
daub;a blemish made by dirt. 'he had a smudge on his cheek'
motivity;the power or ability to move
precipitateness;the quality of happening with headlong haste or without warning
concreteness;the quality of being concrete (not abstract)
knot;soft lump or unevenness in a yarn. either an imperfection or created by design
effusiveness;a friendly open trait of a talkative person
legerity;the gracefulness of a person or animal that is quick and nimble
indistinctness;the quality of being indistinct
flexibility;the property of being flexible
porousness;the property of being porous. being able to absorb fluids
straightforwardness;without hypocrisy: 'the singleness of his motives could not be questioned'
rudeness;a manner that is rude and insulting
earliness;quality of coming early or earlier in time
background level;the amplitude level of the undesired background noise
firmness;the property of being unyielding to the touch
shoddiness;the quality of being cheaply imitative of something better
doctor of fine arts;an honorary degree in fine arts
ruddiness;a healthy reddish complexion
inscrutability;the quality of being impossible to investigate. 'the inscrutability of the future'
grace;free and unmerited favor or beneficence of god: 'there but for the grace of god go i'
indiscretion;the trait of being injudicious
pleasingness;a likeable beauty. 'the liveliness and pleasingness of dark eyes'- t.n. carver
indestructibility;the strength to resist destruction
heroism;the qualities of a hero or heroine. exceptional or heroic courage when facing danger (especially in battle). 'he showed great heroism in battle'. 'he received a medal for valor'
