antitrust law;legislation intended to promote free competition in the market place by outlawing monopolies
noumenon;the intellectual conception of a thing as it is in itself, not as it is known through perception
apprehension;painful expectation
exposure;aspect re light or wind. 'the studio had a northern exposure'
will o  the wisp;an illusion that misleads
operationalism;the doctrine that the meaning of a proposition consists of the operations involved in proving or applying it
presence;the impression that something is present. 'he felt the presence of an evil force'
real world;the practical world as opposed to the academic world. 'a good consultant must have a lot of experience in the real world'
concretism;a representation of an abstract idea in concrete terms
paralogism;an unintentionally invalid argument
rugged individualism;individualism in social and economic affairs. belief not only in personal liberty and self-reliance but also in free competition
extension;the class of objects that an expression refers to. 'the extension of 'satellite of mars' is the set containing only demos and phobos'
religious mysticism;a religion based on mystical communion with an ultimate reality
irredentism;the doctrine that irredenta should be controlled by the country to which they are ethnically or historically related
pseudoscience;an activity resembling science but based on fallacious assumptions
criterion;the ideal in terms of which something can be judged. 'they live by the standards of their community'
fetichism;a belief in the magical power of fetishes (or the worship of a fetish)
shintoism;the indigenous polytheistic religion of japan lacking organized teachings. primarily nature and ancestor worship including a chief deity from whom the emperor is believed to be descended
real life;the practical world as opposed to the academic world. 'a good consultant must have a lot of experience in the real world'
conceptualization;an elaborated concept
moorish;a style of architecture common in spain from the 13th to 16th centuries. characterized by the horseshoe (moorish) arch
skepticism;the disbelief in any claims of ultimate knowledge
meliorism;the belief that the world can be made better by human effort
property;a construct whereby objects or individuals can be distinguished. 'self-confidence is not an endearing property'
history;"all that is remembered of the past as preserved in writing. a body of knowledge: 'the dawn of recorded history'. 'from the beginning of history'"
the like;a similar kind. 'dogs, foxes, and the like', 'we don't want the likes of you around here'
vista;the visual percept of a region. 'the most desirable feature of the park are the beautiful views'
brahminism;the religious beliefs of ancient india as prescribed in the sacred vedas and brahmanas and upanishads
pillar;a fundamental principle or practice. 'science eroded the pillars of superstition'
intersection;a representation of common ground between theories or phenomena. 'there was no overlap between their proposals'
romanesque architecture;a style of architecture developed in italy and western europe between the roman and the gothic styles after 1000 ad. characterized by round arches and vaults and by the substitution of piers for columns and profuse ornament and arcades
perfection;an ideal instance. a perfect embodiment of a concept
phantom;something existing in perception only: 'a ghostly apparition at midnight'
memory picture;a memory image that is similar to a visual perception
quietism;a form of religious mysticism requiring withdrawal from all human effort and passive contemplation of god
disillusionment;freeing from false belief or illusions
sacerdotalism;a belief that priests can act as mediators between human beings and god
kind;a category of things distinguished by some common characteristic or quality. 'sculpture is a form of art'. 'what kinds of desserts are there?'
reference;the class of objects that an expression refers to. 'the extension of 'satellite of mars' is the set containing only demos and phobos'
hellenism;the principles and ideals associated with classical greek civilization
fantasy;something many people believe that is false. 'they have the illusion that i am very wealthy'
doctrine;a belief (or system of beliefs) accepted as authoritative by some group or school
baptistic doctrine;any of various doctrines closely related to anabaptism
catholicity;the beliefs and practices of a catholic church
greco roman architecture;architecture influenced by the ancient greeks or romans
romanesque;a style of architecture developed in italy and western europe between the roman and the gothic styles after 1000 ad. characterized by round arches and vaults and by the substitution of piers for columns and profuse ornament and arcades
visual image;a mental image that is similar to a visual perception
possibility;a future prospect or potential. 'this room has great possibilities'
erudition;profound knowledge
animism;the doctrine that all natural objects and the universe itself have souls. 'animism is common among primitive peoples'
philosophy;any personal belief about how to live or how to deal with a situation. 'self-indulgence was his only philosophy'. 'my father's philosophy of child-rearing was to let mother do it'
conceptuality;an elaborated concept
sensationalism;the ethical doctrine that feeling is the only criterion for what is good
ignis fatuus;an illusion that misleads
tradition;an inherited pattern of thought or action
mental object;"the sum or range of what has been perceived, discovered, or learned"
polytheism;belief in multiple gods
intuitionism;the doctrine that knowledge is acquired primarily by intuition
star divination;a pseudoscience claiming divination by the positions of the planets and sun and moon
conceptualism;the doctrine that the application of a general term to various objects indicates the existence of a mental entity that mediates the application
idol;an ideal instance. a perfect embodiment of a concept
spiritualism;the belief that the spirits of dead people can communicate with people who are still alive (especially via a medium)
foreordination;(theology) the doctrine (usually associated with calvin) that god has foreordained every event throughout eternity (including the final salvation of mankind)
pole;one of two divergent or mutually exclusive opinions. 'they are at opposite poles' or 'they are poles apart'
beaut;an outstanding example of its kind. 'his roses were beauties'. 'when i make a mistake it's a beaut'
common law;(civil law) a law established by following earlier judicial decisions
secessionism;a doctrine that maintains the right of secession
mental image;an iconic mental representation. 'her imagination forced images upon her too awful to contemplate'
mithraicism;ancient persian religion. popular among romans during first three centuries a.d.
positivism;the form of empiricism that bases knowledge on perceptual experience
english gothic architecture;a gothic style in 14th and 15th century england. characterized by vertical lines, a four-centered (tudor) arch, fan vaulting
revealed religion;a religion founded primarily on the revelations of god to humankind
trust;complete confidence in a person or plan etc. 'he cherished the faith of a good woman'. 'the doctor-patient relationship is based on trust'
illusion;an erroneous mental representation
outlook;belief about (or mental picture of) the future
engram;a postulated biochemical change (presumably in neural tissue) that represents a memory
category;a general concept that marks divisions or coordinations in a conceptual scheme
conjuring;invoking a spirit or devil
taoism;popular chinese philosophical system based in teachings of lao-tse but characterized by a pantheism of many gods and the practices of alchemy and divination and magic
middle distance;the part of a scene between the foreground and the background
hunch;an impression that something might be the case. 'he had an intuition that something had gone wrong'
learnedness;profound knowledge
idealization;something that exists only as an idea
beau ideal;an ideal instance. a perfect embodiment of a concept
taoism;philosophical system developed by of lao-tzu and chuang-tzu advocating a simple honest life and noninterference with the course of natural events
sophism;a deliberately invalid argument displaying ingenuity in reasoning in the hope of deceiving someone
christianity;the system of christian beliefs and practices
expectation;belief about (or mental picture of) the future
living;the experience of living. the course of human events and activities. 'he could no longer cope with the complexities of life'
keynote;a fundamental or central idea
blur;a hazy or indistinct representation. 'it happened so fast it was just a blur'. 'he tried to clear his head of the whisky fuzz'
preconceived opinion;an opinion formed without adequate evidence. 'he did not even try to confirm his preconceptions'
impression;a vague idea in which some confidence is placed. 'his impression of her was favorable'. 'what are your feelings about the crisis?'. 'it strengthened my belief in his sincerity'
vitalism;a doctrine that life is a vital principle distinct from physics and chemistry
behmenism;the mystical theological doctrine of jakob boehme that influenced the quakers
rationalism;the doctrine that reason is the right basis for regulating conduct
ufo;an (apparently) flying object whose nature is unknown. especially those considered to have extraterrestrial origins
ground;the part of a scene (or picture) that lies behind objects in the foreground. 'he posed her against a background of rolling hillls'
pagan religion;any of various religions other than christianity or judaism or islamism
strong belief;an unshakable belief in something without need for proof or evidence
mental picture;a clear and telling mental image. 'he described his mental picture of his assailant'. 'he had no clear picture of himself or his world'. 'the events left a permanent impression in his mind'
rosicrucianism;the theological doctrine that venerates the rose and the cross as symbols of christ's resurrection and redemption. claims various occult powers
laws of moses;the laws (beginning with the ten commandments) that god gave to the israelites through moses. it includes many rules of religious observance given in the first five books of the old testament (in judaism these books are called the torah)
decision;a position or opinion or judgment reached after consideration: 'a decision unfavorable to the opposition'. 'his conclusion took the evidence into accout'. 'satisfied with the panel's determination'
sophistry;a deliberately invalid argument displaying ingenuity in reasoning in the hope of deceiving someone
alchemy;a pseudoscientific predecessor of chemistry. sought to turn base metals into gold
generalization;an idea having general application. 'he spoke in broad generalities'
adjuration;calling up supposed supernatural forces by spells and incantations
delusion;a mistaken opinion or idea. 'he has delusions of competence'
side view;a view from the side of something
thomism;the comprehensive theological doctrine created by saint thomas aquinas in the 13th century and still taught by the dominicans
seventh day adventism;adventism that is strongly protestant and observes saturday as the sabbath
monotheism;belief in a single god
introject;(psychoanalysis) a parental figures (and their values) that you introjected as a child. the voice of conscience is usually a parent's voice internalized
self absorption;preoccupation with yourself to the exclusion of everything else
chartism;the principles of a body of 19th century english reformers who advocated better social and economic conditions for working people
conviction;an unshakable belief in something without need for proof or evidence
yoga;a hindu theistic philosophy. union of self and the supreme being is sought through a state of complete awareness and tranquillity attained by certain physical exercises
model;a type of product. 'his car was an old model'
ism;a belief (or system of beliefs) accepted as authoritative by some group or school
dimension;a construct whereby objects or individuals can be distinguished. 'self-confidence is not an endearing property'
notion;a general inclusive concept
precedent;(civil law) a law established by following earlier judicial decisions
chivalry;the medieval principles of knighthood
probabilism;the doctrine that (since certainty is unattainable) probability is a sufficient basis for belief and action
inkling;a slight suggestion. 'he had no inkling what was about to happen'
christian religion;the system of christian beliefs and practices
voodoo;a religious cult practiced chiefly in caribbean countries (especially haiti). involves witchcraft and animistic deities
philosophy;a belief (or system of beliefs) accepted as authoritative by some group or school
style;a particular kind (as to appearance). 'this style of shoe is in demand'
intellectual nourishment;intellectual sustenance
theurgy;magic performed with the help of beneficent spirits
undertone;subdued emotional quality underlying an utterance. implicit meaning
mind;an opinion formed by judging something. 'he was reluctant to make his judgment known'. 'she changed her mind'
teaching;a doctrine that is taught. 'the teaching of religion'. 'he believed all the christian precepts'
petitio principii;the fallacy of assuming the conclusion in the premises. begging the question
evocation;calling up supposed supernatural forces by spells and incantations
law;"the collection of rules imposed by authority. 'civilization presupposes respect for the law'"
total depravity;the calvinist doctrine that everyone is born in a state of corruption as a result of original sin
preordination;(theology) the doctrine (usually associated with calvin) that god has foreordained every event throughout eternity (including the final salvation of mankind)
classical architecture;architecture influenced by the ancient greeks or romans
food for thought;intellectual sustenance
wraith;a mental representation of some haunting experience. 'he looked like he had seen a ghost'. 'it aroused specters from his past'
lexis;"all of the words in a language. all word forms having meaning or grammatical function"
platonism;the philosophical doctrine that abstract concepts exist independent of their names
individualism;the doctrine that government should not interfere in commercial affairs
whimsey;a whimsical idea. 'the theatrical notion of disguise is associated with disaster in his stories'
roman catholicism;the beliefs and practices of the catholic church based in rome
mentalism;a doctrine that mind the true reality and that objects exist only as aspects of the mind's awareness
ecumenicalism;the doctrine of the ecumenical movement promoting cooperation and better understanding among different religious denominations. aimed at universal christian unity
inspiration;arousal of the mind to special unusual activity or creativity
shivaism;worship of shiva one of the 3 chief gods of the hindu pantheon
creation science;an effort to give scientific support for the truth of the account of creation given in the book of genesis
preconceived notion;an opinion formed without adequate evidence. 'he did not even try to confirm his preconceptions'
pattern;a model considered worthy of imitation. 'the american constitution has provided a pattern for many republics'
shaktism;worship of shakti as the wife of shiva
puseyism;principles of the founders of the oxford movement. expounded in pamphlets called 'tracts for the times'
martial law;the body of law imposed by the military over civilian affairs (usually in time of war or civil crisis). overrides civil law
zen;doctrine that enlightenment can be attained through direct intuitive insight
art form;a form of artistic expression (such as writing or painting or architecture)
visualisation;a mental image that is similar to a visual perception
theanthropism;(theology) the doctrine that jesus was a union of the human and the divine
literalism;the doctrine of realistic (literal) portrayal in art or literature
surface;information that has become public. 'all the reports were out in the open'. 'the facts had been brought to the surface'
vishnuism;worship of vishnu one of the 3 chief gods of the hindu pantheon
witchcraft;the art of sorcery
shape;a concrete representation of an otherwise nebulous concept. 'a circle was the embodiment of his concept of life'
obsession;an unhealthy preoccupation with something or someone
atheism;a lack of belief in the existence of god or gods
materialism;the doctrine that matter is the only reality
dogma;a doctrine or code of beliefs accepted as authoritative. 'he believed all the marxist dogma'
school of thought;a belief (or system of beliefs) accepted as authoritative by some group or school
seed;anything that provides inspiration for later work
sort;a category of things distinguished by some common characteristic or quality. 'sculpture is a form of art'. 'what kinds of desserts are there?'
mahayana;one of two great schools of buddhist doctrine emphasizing a common search for universal salvation especially through faith alone. chiefly in china. tibet. japan
byzantine architecture;the style of architecture developed in the byzantine empire. massive domes with square bases and rounded arches and spires and minarets and much use of mosaics
scholasticism;the system of philosophy dominant in medieval europe. based on aristotle and the church fathers
perceptual experience;the representation of what is perceived. basic component in the formation of a concept
misconception;an incorrect conception
quakerism;the theological beliefs of the society of friends
greek architecture;the architecture of ancient greece
exemplar;something to be imitated. 'an exemplar of success'. 'a model of clarity'. 'he is the very model of a modern major general'
saktism;worship of shakti as the wife of shiva
arminianism;doctrines of jacobus arminius (1610) rejecting absolute predestination or strict calvinism
wesleyanism;evangelical principles taught by john wesley
judaism;the monotheistic religion of the jews. based on the old testament and the talmud
visual image;a percept that arises from the eyes. an image in the visual system
faith;complete confidence in a person or plan etc. 'he cherished the faith of a good woman'. 'the doctor-patient relationship is based on trust'
lutheranism;teachings of martin luther emphasizing the cardinal doctrine of justification by faith alone
enabling legislation;legislation that gives appropriate officials the authority to implement or enforce the law
rastafarianism;belief in ras tafari (haile selassie of ethiopia) as the messiah and that africa (especially ethiopia) is the promised land
percept;the representation of what is perceived. basic component in the formation of a concept
confucianism;the teachings of confucius emphasizing love for humanity. high value given to learning and to devotion to family (including ancestors). peace. justice. influenced the traditional culture of china
catholicism;the beliefs and practices of a catholic church
judgement;an opinion formed by judging something. 'he was reluctant to make his judgment known'. 'she changed her mind'
freethinking;the doctrine that reason is the right basis for regulating conduct
life;the experience of living. the course of human events and activities. 'he could no longer cope with the complexities of life'
shade;a mental representation of some haunting experience. 'he looked like he had seen a ghost'. 'it aroused specters from his past'
hsuan chiao;popular chinese philosophical system based in teachings of lao-tse but characterized by a pantheism of many gods and the practices of alchemy and divination and magic
conjuration;invoking a spirit or devil
belief;a religious doctrine that is proclaimed as true without proof
apparition;something existing in perception only: 'a ghostly apparition at midnight'
sivaism;worship of shiva one of the 3 chief gods of the hindu pantheon
sensationalism;the doctrine that knowledge derives from experience
admiralty law;the traditional body of rules and practices relating to commerce and navigation or to business transacted at sea or to general maritime affairs
shingon;a japanese buddhism emphasizing mystical symbolism of mantras and mudras and the buddha's ideal which is inexpressible
antitype;a person or thing represented or foreshadowed by a type or symbol. especially a figure in the old testament having a counterpart in the new testament
dialectical materialism;the materialistic philosophy of karl marx and friedrich engels
prospect;belief about (or mental picture of) the future
make;a recognizable kind. 'there's a new brand of hero in the movies now'. 'what make of car is that?'
civil law;the body of laws established by a state or nation for its own regulation
shadow;something existing in perception only: 'a ghostly apparition at midnight'
general knowledge;"knowledge that is available to anyone"
disenchantment;freeing from false belief or illusions
transubstantiation;the roman catholic doctrine that the whole substance of the bread and the wine changes into the substance of the body and blood of christ when consecrated in the eucharist
visual field;all of the points of the physical environment that can be perceived by a stable eye at a given moment
brand;a recognizable kind. 'there's a new brand of hero in the movies now'. 'what make of car is that?'
fuzz;a hazy or indistinct representation. 'it happened so fast it was just a blur'. 'he tried to clear his head of the whisky fuzz'
germ;anything that provides inspiration for later work
reference;the relation between a word or phrase and the object or idea it refers to. 'he argued that reference is a consequence of conditioned reflexes'
realism;the philosophical doctrine that physical object continue to exist when not perceived
content;"the sum or range of what has been perceived, discovered, or learned"
knowledge base;the content of a particular domain or field of knowledge
eruditeness;profound knowledge
obiism;belief in a kind of sorcery that originated in africa and is practiced in the west indies
self deception;a misconception that is favorable to the person who holds it
life expectancy;an expected time to live as calculated on the basis of statistical probabilities
architectural style;architecture as a kind of art form
rationalism;the theological doctrine that human reason rather than divine revelation establishes religious truth
embodiment;a concrete representation of an otherwise nebulous concept. 'a circle was the embodiment of his concept of life'
empiricist philosophy;the doctrine that knowledge derives from experience
edification;uplifting enlightenment
aesthetic;a philosophical theory as to what is beautiful. 'he despised the esthetic of minimalism'
thought;the content of cognition. the main thing you are thinking about. 'it was not a good idea'. 'the thought never entered my mind'
functionalism;any doctrine that stresses utility or purpose
autotelism;belief that a work of art is an end in itself or its own justification
totemism;belief in the kinship of a group of people with a common totem
legal principle;a principle underlying the formulation of jurisprudence
securities law;the body of laws governing the issuance and selling of securities
world;all of your experiences that determine how things appear to you. 'his world was shattered'. 'we live in different worlds'. 'for them demons were as much a part of reality as trees were'
solipsism;the philosophical theory that the self is all that you know to exist
obi;a religious belief of african origin involving witchcraft and sorcery. practiced in parts of the west indies and tropical americas
ground;a relatively homogeneous percept extending back of the figure on which attention is focused
macumba;a brazilian religious cult of african origin. combines voodoo elements with singing a chanting and dancing
mormonism;the doctrines and practices of the mormon church based on the book of mormon
christian science;religious system based on teachings of mary baker eddy emphasizing spiritual healing
athanasianism;the theological doctrine taught by athanasius that christ the son is of the same substance as god the father
patchwork;a theory or argument made up of miscellaneous or incongruous ideas
canon law;the body of codified laws governing the affairs of a christian church
physical education;training in the development of and care for the human body. stresses athletics. includes hygiene
ecumenism;the doctrine of the ecumenical movement promoting cooperation and better understanding among different religious denominations. aimed at universal christian unity
teleology;a doctrine explaining phenomena by their ends or purposes
phantom limb;the illusion that a limb still exists after it has been amputated
misapprehension;an understanding of something that is not correct. 'he wasn't going to admit his mistake'. 'make no mistake about his intentions'. 'there must be some misunderstanding--i don't have a sister'
sense;the idea that is intended. 'what is the sense of this proverb?'
aspect;the visual percept of a region. 'the most desirable feature of the park are the beautiful views'
naive realism;the philosophical doctrine that physical object continue to exist when not perceived
disorientation;a wild delusion (especially one induced by a hallucinogenic drug)
interface;the overlap where two theories or phenomena affect each other or have links with each other. 'the interface between chemistry and biology'
perception;a way of conceiving something. 'luther had a new perception of the bible'
value system;the principles of right and wrong that are accepted by an individual or a social group. 'the puritan ethic'. 'a person with old-fashioned values'
vodoun;a religious cult practiced chiefly in caribbean countries (especially haiti). involves witchcraft and animistic deities
heresy;a belief that rejects the orthodox tenets of a religion
public opinion;a belief or sentiment shared by most people. the voice of the people. 'he asked for a poll of public opinion'
generality;an idea having general application. 'he spoke in broad generalities'
ecclesiastical law;the body of codified laws governing the affairs of a christian church
erastianism;the doctrine that the state is supreme over the church in ecclesiastical matters
impression;a clear and telling mental image. 'he described his mental picture of his assailant'. 'he had no clear picture of himself or his world'. 'the events left a permanent impression in his mind'
ego ideal;an ideal of personal excellence toward which a person strives
hoodooism;a religious cult practiced chiefly in caribbean countries (especially haiti). involves witchcraft and animistic deities
agnosticism;the disbelief in any claims of ultimate knowledge
wisdom;accumulated knowledge or erudition or enlightenment
tenor;pervading note of an utterance. 'i could follow the general tenor of his argument'
egalitarianism;the doctrine of the equality of mankind and the desirability of political and economic and social equality
buddhism;the ethical philosophy of buddha. emphasizes physical and spiritual discipline as a means of liberation from the physical world
zoroastrianism;system founded in persia in the 6th century b.c. by zoroaster. set forth in the zend-avesta. based on concept of struggle between light (good) and dark (evil)
description;sort or variety. 'every description of book was there'
commercial law;the body of rules applied to commercial transactions. derived from the practices of traders rather than from jurisprudence
post hoc;the fallacy of believing that temporal succession implies a causal relation
control;a standard against which other conditions can be compared in a scientific experiment. 'the control condition was inappropriate for the conclusions he wished to draw'
ignorantness;ignorance (especially of orthodox beliefs)
demonism;the worship of devils (especially satan)
traditionalism;the doctrine that all knowledge was originally derived by divine revelation and that it is transmitted by traditions
acculturation;all the knowledge and values shared by a society
golden rule;a command based on jesus' words in the sermon on the mount: 'whatsoever ye would that men do unto you, do you even so unto them' (maththew 7:12)
taboo;a prejudice (especially in polynesia and other s pacific islands) that prohibits the use or mention of something because of its sacred nature
special effect;an effect used to produce scenes that cannot be achieved by normal techniques (especially on film)
abstraction;a concept or idea not associated with any specific instance. 'he loved her only in the abstract--not in person'
empiricism;the doctrine that knowledge derives from experience
unrealism;a representation having no reference to concrete objects or specific examples
victorian architecture;a style of architecture used in england during the reign of queen victoria. characterized by massive construction and elaborate ornamentation
epicureanism;a doctrine of hedonsim that was defended by several ancient greek philosophers
tantrism;doctrine of enlightenment as the realization of the oneness of one's self and the visible world. combines elements of hinduism and paganism including magical and mystical elements like mantras and mudras and erotic rites. especially influential in tibet
wesleyism;evangelical principles taught by john wesley
sound effect;an effect that imitates a sound called for in the script of a play
memory;something that is remembered. 'search as he would, the memory was lost'
athanasian creed;a christian profession of faith
idealisation;something that exists only as an idea
muse;the source of an artist's inspiration. 'euterpe was his muse'
strain;pervading note of an utterance. 'i could follow the general tenor of his argument'
attribute;a construct whereby objects or individuals can be distinguished. 'self-confidence is not an endearing property'
variety;a specific kind of something: 'a species of molecule'. 'a species of villainy'
learning;profound knowledge
experimentalism;an empirical doctrine that advocates experimental principles
shamanism;any animistic religion similar to asian shamanism especially as practiced by certain native american tribes
abstruseness;wisdom that is recondite and abstruse and profound. 'the anthropologist was impressed by the reconditeness of the native proverbs'
internal representation;a presentation to the mind in the form of an idea or image
pacifism;the doctrine that all violence in unjustifiable
hoodoo;a practitioner of voodoo
significance;a meaning that is not expressly stated but can be inferred. 'the significance of his remark became clear only later'. 'the expectation was spread both by word and by implication'
field of view;the area that is visible through an optical instrument
esthetic;a philosophical theory as to what is beautiful. 'he despised the esthetic of minimalism'
auditory image;a mental image that is similar to an auditory perception
tableau;any dramatic scene
summoning;calling up supposed supernatural forces by spells and incantations
intuition;an impression that something might be the case. 'he had an intuition that something had gone wrong'
conception;an abstract or general idea inferred or derived from specific instances
nativism;the philosophical doctrine that some ideas are innate
knowledge domain;the content of a particular domain or field of knowledge
form;a category of things distinguished by some common characteristic or quality. 'sculpture is a form of art'. 'what kinds of desserts are there?'
semblance;an erroneous mental representation
judicial principle;a principle underlying the formulation of jurisprudence
universalism;the theological doctrine that all people will eventually be saved
import;a meaning that is not expressly stated but can be inferred. 'the significance of his remark became clear only later'. 'the expectation was spread both by word and by implication'
model;something to be imitated. 'an exemplar of success'. 'a model of clarity'. 'he is the very model of a modern major general'
ghost;a mental representation of some haunting experience. 'he looked like he had seen a ghost'. 'it aroused specters from his past'
antitrust legislation;legislation intended to promote free competition in the market place by outlawing monopolies
open;information that has become public. 'all the reports were out in the open'. 'the facts had been brought to the surface'
intimation;a slight suggestion. 'he had no inkling what was about to happen'
absolutism;the doctrine of an absolute being
type of architecture;architecture as a kind of art form
substance;the idea that is intended. 'what is the sense of this proverb?'
