growth;"something grown or growing. 'a growth of hair'"
maintenance;court-ordered support paid by one spouse to another after they are separated
bribe;payment made to a person in a position of trust to corrupt his judgment
plunder;goods or money obtained illegally
gift horse;a gift (usually of inferior quality) that should be accepted uncritically. 'it wasn't much, but don't look a gift horse in the mouth'
thing;"an entity that is not named specifically. 'i couldn't tell what the thing was'"
honorarium;a fee paid for a nominally free service
prime interest rate;the interest rate on short-term loans that banks charge their commercial customers with high credit ratings
exchange premium;a fee charged for exchanging currencies
paring;"a part that is pared or cut off. especially skin or peel"
production cost;combined costs of raw material and labor incurred in producing goods
hole;"one unit of play from tee to green on a golf course. 'he played 18 holes'"
viatical settlement;cash derived from sale of an insurance policy by a terminally ill policy holder
gist;"the choicest or most essential or most vital part of some idea or experience: 'the gist of the prosecutor's argument'. 'the nub of the story'"
take home pay;what is left of your pay after deductions for taxes and dues and insurance etc
stipend;a sum of money allotted on a regular basis. usually for some specific purpose
disability check;a monthly payment made to someone who has become disabled and is unable to work
aid;a gift of money to support a worthy person or cause
accession;something added to what you have already. 'the librarian shelved the new accessions'. 'he was a new addition to the staff'
tankage;the charge for storing something in tanks
financial loss;loss of money or decrease in financial value
write off;reduction in the book value of an asset
agiotage;a fee charged for exchanging currencies
entrance money;the fee charged for admission
depreciation rate;the rate at which the value of property is reduced. used to calculate tax deduction
depreciation charge;an amount periodically charged to expense or against revenue in compensation for depreciation of property
footage;a rate of charging by the linear foot of work done
simple interest;interest paid on the principle alone
appanage;a grant (by a sovereign or a legislative body) of resources to maintain a dependent member of a ruling family
wage;something that remunerates. 'wages were paid by check'. 'he wasted his pay on drink'. 'they saved a quarter of all their earnings'
offer price;(on the stock exchange) the price at which a broker is willing to sell a certain security
rate of exchange;the charge for exchanging currency of one country for currency of another
remnant;a small part or portion that remains after the main part no longer exists
underpayment;a payment smaller than needed or expected
web;"an intricate network suggesting something that was formed by weaving or interweaving. 'the trees cast a delicate web of shadows over the lawn'"
indemnification;a sum of money paid in compensation for loss or injury
place;an item on a list or in a sequence. 'in the second place'. 'moved from third to fifth position'
bus fare;the fare charged for riding a bus or streetcar
expiation;compensation for a wrong. 'we were unable to get satisfaction from the local store'
gratuity;a relatively small amount of money given for services rendered (as by a waiter)
recognisance;(law) a security entered into before a court with a condition to perform some act required by law. on failure to perform that act a sum is forfeited
residual;(often plural) a payment that is made to a performer or writer or director of a television show or commercial that is paid for every repeat showing. 'he could retire on his residuals'
alimony;court-ordered support paid by one spouse to another after they are separated
amends;a sum of money paid in compensation for loss or injury
present;something presented as a gift. 'his tie was a present from his wife'
bakshis;a relatively small amount of money given for services rendered (as by a waiter)
heart;"the choicest or most essential or most vital part of some idea or experience: 'the gist of the prosecutor's argument'. 'the nub of the story'"
installment buying;a system for paying for goods by installments
collateral;a security pledged for the repayment of a loan
installation charge;the charge for installing something
cost of living;average cost of basic necessities of life (as food and shelter and clothing). 'a rise in the cost of living reflects the rate of inflation'
earnest;something of value given by one person to another to bind a contract
blood money;paid to a hired murderer
cover charge;a fixed charge by a restaurant or night club over and above the charge for food and drink
portion;something determined in relation to something that includes it. 'he wanted to feel a part of something bigger than himself'. 'i read a portion of the manuscript'. 'the smaller component is hard to reach'
particular;"a small part that can be considered separately from the whole. 'it was perfect in all details'"
blood money;a reward for information about a murderer
license tax;a fee paid to the government for the privilege of being licensed to do something (as selling liquor or practicing medicine)
discount rate;interest on an annual basis deducted in advance on a loan
unknown quantity;"a factor in a given situation whose bearing and importance is not apparent. 'i don't know what the new man will do. he's still an unknown quantity'"
depreciation allowance;an allowance for loss due to depreciation
death benefit;insurance or pension money payable to a beneficiary of a deceased
subway fare;the fare charged for riding a subway train
substance;"the choicest or most essential or most vital part of some idea or experience: 'the gist of the prosecutor's argument'. 'the nub of the story'"
losings;something lost (especially money lost at gambling)
exemplary damages;(law) compensation in excess of actual damages (a form of punishment awarded in cases of malicious or willful misconduct)
inheritance;a title or property that is inherited
benefit;financial assistance in time of need
distribution cost;any cost incurred by a producer or wholesaler or retailer or distributor (as for advertising and shipping etc)
whole thing;an assemblage of parts that is regarded as a single entity. 'how big is that part compared to the whole?'. 'the repairman simply replaced the unit'
object;"the focus of cognitions or feelings. 'objects of thought'. 'the object of my affection'"
bequest;(law) a gift of personal property by will
retirement benefit;a monthly payment to someone who is retired from work
cost of living benefit;a benefit that goes to anyone whose money receipts increase automatically as prices rise
inessential;"anything that is not essential. 'they discarded all their inessentials'"
high spot;the most interesting or memorable part. 'the highlight of the tour was our visit to the vatican'
benefaction;a contribution of money or assistance
unit;a single undivided whole. 'an idea is not a unit that can be moved from one brain to another'
delinquency;nonpayment of a debt when due
amercement;money extracted as a penalty
incidental expense;(frequently plural) an expense not budgeted or not specified. 'he requested reimbursement of __7 for incidental expenses'
service charge;a percentage of a bill (as at a hotel or restaurant) added in payment for service
subsidy;a grant paid by a government to an enterprise that benefits the public: 'a subsidy for research in artificial intelligence'
wear and tear;decrease in value of an asset due to obsolescence or use
fossil;a relic or impression of a plant or animal that existed in a past geological age
restitution;a sum of money paid in compensation for loss or injury
rack rent;an extortionate rent
factory price;price charged for goods picked up at the factory
thread;"any long object resembling a thin line. 'a mere ribbon of land'. 'the lighted ribbon of traffic'. 'from the air the road was a gray thread'. 'a thread of smoke climbed upward'"
security blanket;(informal) anything that a person uses to reduce their anxiety
land grant;a grant of public land (as to a railway or college)
remainder;"something left after other parts have been taken away. 'there was no remainder'. 'he threw away the rest'"
meat;"the choicest or most essential or most vital part of some idea or experience: 'the gist of the prosecutor's argument'. 'the nub of the story'"
part;something determined in relation to something that includes it. 'he wanted to feel a part of something bigger than himself'. 'i read a portion of the manuscript'. 'the smaller component is hard to reach'
news item;an item in a newspaper
rate of interest;the percentage of a sum of money charged for its use
fringe benefit;an incidental benefit awarded for certain types of employment (especially if it is regarded as a right). 'a limousine is one of the fringe benefits of the job'
voice;"something suggestive of speech in being a medium of expression. 'the wee small voice of conscience'. 'the voice of experience'. 'he said his voices told him to do it'"
borough english;a former english custom by which the youngest son inherited land to the exclusion of his older brothers
wharfage;a fee charged for the use of a wharf
