alum;a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
lead acetate;a poisonous white solid (pb[ch3co]2) used in dyeing cotton and in making enamels and varnishes
tetrahalide;any halide containing four halogen atoms in it molecules
glycerole;a medicine made by mixing a substance in glycerin
manganic acid;a dibasic acid (h2mno4) found only in solution and in manganate salts
preparation;a substance prepared according to a formula
thymic acid;a colorless crystalline solid used in perfume or preserving biological specimens or in embalming or medically as a fungicide or antiseptic
elinvar;elinvar is a trademark for a kind of nickel-chromium steel used for watch springs because its elasticity is constant over a wide range of temperatures
schenk beer;beer brewed for immediate consumption
benzoyl peroxide;a white crystalline peroxide used in bleaching (flour or oils or fats) and as a catalyst for free radical reactions
rubidium;a soft silvery metallic element of the alkali metal group. burns in air and reacts violently in water. occurs in carnallite and lepidolite and pollucite
sassafras oil;oil from root bark of sassafras trees. used in perfumery and as a disinfectant
cognac;high quality grape brandy distilled in the cognac district of france
gunflint;the piece of flint that provides the igniting spark in a flintlock weapon
k;a light soft silver-white metallic element of the alkali metal group. oxidizes rapidly in air and reacts violently with water. is abundant in nature in combined forms occurring in sea water and in carnallite and kainite and sylvite
paraffin;a non-aromatic saturated hydrocarbon with the general formula cnh(2n+2)
potassium nitrate;(kno3) used especially as a fertilizer and explosive
atomic number;a sliver-white metallic element of the platinum group that resembles platinum. occurs in some copper and nickel ores. does not tarnish at ordinary temperatures and is used (alloyed with gold) in jewelry
aqua regia;a yellow fuming corrosive mixture of nitric and hydrochloric acid that dissolves metals (including gold)
coolant;a fluid (gas or liquid) used to cool a system. transfers heat away from one part to another
turpentine;volatile liquid distilled from turpentine oleoresin. used as paint thinner and solvent and medicinally
lw;a radioactive transuranic element synthesized from californium
benzofuran;a colorless oily compound extracted from coal tar and used in manufacturing synthetic resins
suds;fermented alcoholic beverage brewed from malt and hops
sulfanilic acid;a crystalline acid made from aniline and used as a dye
fumes;gases ejected from an engine as waste products
glutamic acid;an amino acid occurring in proteins. important in the nitrogen metabolism of plants. used in monosodium glutamate to enhance the flavor of meats
oxygen acid;any acid that contains oxygen
ployurethan;any of various polymers containing the urethane radical. a wide variety of synthetic forms are made and used as adhesives or plastics or paints or rubber
sorbic acid;a white crystalline carboxylic acid used as a preservative
bitumen;any of various naturally occurring impure mixtures of hydrocarbons
ammonia;a pungent gas compounded of nitrogen and hydrogen
sternutator;a chemical substance that causes sneezing and coughing and crying. 'police used a sternutatory to subdue the mob'
iodocompound;a compound containing the covalent iodine radical
dammar resin;any of various hard resins from trees of the family dipterocarpaceae and of the genus agathis. especially the amboyna pine
malt;alcoholic beverage made with malt
cerium;a ductile gray metallic element of the lanthanide series. used in lighter flints. the most abundant of the rare-earth group
polyurethane foam;a foam made by adding water to polyurethane plastics
hydride;any compound formed by the union of hydrogen and other elements
plumbago;used as a lubricant and as a moderator in nuclear reactors
martini;gin (or vodka) with dry vermouth
cd;a soft bluish-white ductile malleable toxic bivalent metallic element. occurs in association with zinc ores
atomic number;a nonmetallic univalent element. usually a yellow irritating toxic flammable gas. a powerful oxidizing agent. recovered from fluorite or cryolite or fluorapatite
polypeptide;a peptide containing 10 to more than 100 amino acids
cinnamene;a colorless oily liquid. the monomer for polystyrene
fuel oil;a petroleum product used for fuel
propane;colorless gas found in natural gas and petroleum. used as a fuel
vinylbenzene;a colorless oily liquid. the monomer for polystyrene
ethanamide;a colorless solid amide of acetic acid used as a solvent and in the synthesis of organic compounds
picric acid;a yellow toxic highly explosive strong acid. used in high explosives and as a dye and in chemical reactions
triolein;a naturally occuring glyceride of oleic acid that is found in fats and oils
carotin;an orange isomer of an unsaturated hydrocarbon found in many plants. is converted into vitamin a in the liver
beeswax;a yellow to brown wax secreted by honeybees to build honeycombs
carboxymethyl cellulose;an acid derivative of cellulose
barium sulphate;a white insoluble radiopaque powder used as a pigment
kumis;an alcoholic beverage made from fermented mare's milk. made originally by nomads of central asia
radon;a radioactive gaseous element formed by the disintegration of radium. the heaviest of the inert gasses. occurs naturally (especially in areas over granite) and is considered a hazard to health
ca;a white metallic element that burns with a brilliant light. the fifth most abundant element in the earth's crust. an important component of most plants and animals
damar;any of various hard resins from trees of the family dipterocarpaceae and of the genus agathis. especially the amboyna pine
iodide;a salt or ester of hydriodic acid
wood alcohol;a light volatile flammable poisonous liquid alcohol. used as an antifreeze and solvent and fuel and as a denaturant for ethyl alcohol
phosphate;carbonated drink with fruit syrup and a little phosphoric acid
atomic number;a soft silvery metallic element. a rare earth of the lanthanide series. it occurs in gadolinite and monazite and xenotime
deae cellulose;used for chromatography
sour mash whiskey;any whiskey distilled from sour mash
calcium cyanamide;a compound used as a fertilizer and as a source of nitrogen compounds
sunflower seed oil;oil from sunflower seeds
guinea gold;brass with enough copper to give it a reddish tint. used for plumbing pipe and other brass hardware and in cheap jewelry
pentanoic acid;a clear liquid carboxylic acid used in perfumes and drugs
naphthalene;a white crystalline strong-smelling hydrocarbon made from coal tar or petroleum and used in organic synthesis and as a fumigant
scotch;whiskey distilled in scotland. especially whiskey made from malted barley in a pot still
au;a soft yellow malleable ductile (trivalent and univalent) metallic element. occurs mainly as nuggets in rocks and alluvial deposits. does not react with most chemicals but is attacked by chlorine and aqua regia
glyoxaline;an organic base c3h4n2. a histamine inhibitor
uracil;a base found in rna (but not in dna) and derived from pyrimidine. pairs with adenine
beverage;any liquid suitable for drinking: 'may i take your beverage order?'
phosgene;a colorless poisonous gas that smells like new-mown hay. used in chemical warfare
lac wax;a hard wax separated from shellac by its insolubility in alcohol
hyssop oil;used chiefly in liqueurs
nitrate;a salt or ester of nitric acid
slush;partially melted snow
neon;a colorless odorless gaseous element that give a red glow in a vacuum tube. one of the six inert gasses. occurs in the air in small amounts
nucleoside;a glycoside formed by partial hydrolysis of a nucleic acid
casein;a milk protein used in making e.g. plastics and adhesives
curacoa;flavored with sour orange peel
atomic number;a radioactive transuranic element synthesized by bombarding curium with carbon ions. 7 isotopes are known
thyroprotein;a preparation made from iodinated protein and having an action similar to thyroxine
bottomland;low-lying alluvial land near a river
thiodiphenylamine;a compound used primarily in veterinary medicine to rid farm animals of internal parasites
laevulose;a simple sugar found in honey and in many ripe fruits
monell metal;an alloy of nickel and copper and other metals (such as iron and/or manganese and/or aluminum)
atomic number;a hard brittle gray polyvalent metallic element that resembles iron but is not magnetic. used in making steel. occurs in many minerals
saponin;any of various plant glucosides that form soapy lathers when mixed and agitated with water. used in detergents and foaming agents and emulsifiers
hydrogen iodide;a colorless gas that yields hydroiodic acid in aqueous solution
mescal;a colorless mexican liquor distilled from fermented juices of certain desert plants of the genus agavaceae (especially the century plant)
cows;milk obtained from dairy cows
nonfat dry milk;dehydrated skimmed milk
distilled water;water that has been purified by distillation
tear gas;a gas that makes the eyes fill with tears but does not damage them. used in dispersing crowds
manganese;a hard brittle gray polyvalent metallic element that resembles iron but is not magnetic. used in making steel. occurs in many minerals
thiocyanic acid;an unstable acid that can be obtained by distilling a thiocyanate salt
dioxin;any of several toxic or carcinogenic hydrocarbons that occur as impurities in herbicides
fatty acid;any of a class of aliphatic monocarboxylic acids that form part of a lipid molecule and can be derived from fat by hydrolysis
potassium iodide;a crystalline salt in organic synthesis and in making photographic emulsions and in iodized table salt
dy;a trivalent metallic element of the rare earth group. forms compounds that are highly magnetic
atomic number;a common nonmetallic element belonging to the halogens. best known as a heavy yellow irritating toxic gas. used to purify water and as a bleaching agent and disinfectant. occurs naturally only as a salt (as in sea water)
cyder;alcoholic drink from fermented cider ('cider' and 'cyder' are european (especially british) usage for the fermented beverage)
dihydric alcohol;any of a class of alcohols having 2 hydroxyl groups in each molecule
blue vitriol;hydrated blue crystalline form of copper sulfate
tubocurarine;a toxic alkaloid found in certain tropical south american trees that is a powerful relaxant for striated muscles. used by south american indians as an arrow poison. 'curare acts by blocking cholinergic transmission at the myoneural junction'
atomic number;a soft silver-white ductile metallic element (liquid at normal temperatures). the most electropositive and alkaline metal
rare earth element;any element of the lanthanide series (atomic numbers 57' through 71')
blue copperas;hydrated blue crystalline form of copper sulfate
caustic potash;a potassium compound often used in agriculture and industry
balm of gilead;a fragrant oleoresin
vinyl cyanide;a colorless liquid unsaturated nitrile made from propene
ge;a brittle gray crystalline element that is a semiconducting metalloid (resembling silicon) used in transistors. occurs in germanite and argyrodite
east india kino;reddish or black juice or resin from certain trees of the genus pterocarpus and used in medicine and tanning etc
formaldehyde;a colorless poisonous gas. made by the oxidation of methanol
bone oil;dark-colored ill-smelling oil obtained by carbonizing bone. used especially in sheep dips and in denaturing alcohol
ra;an intensely radioactive metallic element that occurs in minute amounts in uranium ores
ethanedioic acid;a toxic colorless crystalline organic acid found in oxalis and other plants. used as a bleach and rust remover and in chemical analysis
copolymer;a polymer consisting of two or more different monomers
cotes de provence;a wine from southeastern france on the mediterranean coast
suberic acid;a dicarboxylic acid found in cork
hydroxyacetic acid;a translucent crystalline compound found in sugar cane and sugar beets and unripe grapes
atomic number;a soft gray malleable metallic element that resembles tin but discolors on exposure to air. it is highly toxic and is used in rodent and insect poisons. occurs in zinc blende and some iron ores
dichromate;a salt of the hypothetical dichromic acid
hexose;a monosaccharide that contains six carbon atoms per molecule
lipoid;any oily organic compound insoluble in water but soluble in organic solvents. essential structural component of living cells (along with proteins and carbohydrates)
soft solder;solder that melts at a relatively low temperature
atomic number;a radioactive transuranic metallic element produced by bombarding plutonium with neutrons
halite;as white crystalline solid consisting mainly of sodium chloride
tripalmitin;a triglyceride of palmitic acid
lead tetraethyl;a clear oily poisonous liquid added to gasoline to prevent knocking
quenched steel;steel that has been hardened by immersing it in water or oil to cool it
gin and it;gin and sweet vermouth
kerosene;a flammable hydrocarbon oil used as fuel in lamps and heaters
gamboge;a gum resin used as a yellow pigment and a purgative
kutch;tannin extract derived from any of several mangrove barks of pacific areas
tartrate;a salt or ester of tartaric acid
sulfur;an abundant tasteless odorless multivalent nonmetallic element. best known in yellow crystals. occurs in many sulphide and sulphate minerals and even in native form (especially in volcanic regions)
wax;any of various substances of either mineral origin or plant or animal origin. they are solid at normal temperatures and insoluble in water
ricin;a toxic protein extracted from castor beans. used as a chemical reagent
glyceraldehyde;a sweet crystalline aldehyde formed by the breakdown of sugars
boracic acid;any of various acids containing boron and oxygen
atomic number;a radioactive transuranic element. discovered by bombarding curium with alpha particles
prothrombin;a protein in blood plasma that is the inactive precursor of thrombin
erythrocytolysin;any substance that can cause lysis (destruction) of erythrocytes (red blood cells) and the release of their hemoglobin
pyrites;any of various metallic-looking sulfides (of which pyrite is the commonest)
hyaluronic acid;a viscous polysaccharide acid found in connective tissues and in lubricating fluids in the body
gin;strong liquor flavored with juniper berries
unh;a transuranic element
blood sugar;glucose in the bloodstream
pentoxide;an oxide containing five atoms of oxygen in the molecule
limeade;sweetened beverage of lime juice and water
heptane;a colorless volatile highly flammable liquid obtained from petroleum and used as an anesthetic or a solvent or in determining octane ratings
e;a radioactive transuranic element produced by bombarding plutonium with neutrons
swedish iron;wrought iron of high purity made in sweden
sparkling water;effervescent beverage artificially charged with carbon dioxide
titanium;a light strong gray lustrous corrosion-resistant metallic element used in strong light-weight alloys (as for airplane parts). the main sources are rutile and ilmenite
copper oxide;an oxide of copper
pilsener;pale beer with strong flavor of hops. especially a bohemian beer
philter;a drink credited with magical power. can make the one who takes it love the one who gave it
proline;an amino acid that is found in many proteins (especially collagen)
orthophosphate;a salt of phosphoric acid
lanthanon;any element of the lanthanide series (atomic numbers 57' through 71')
egg cream;made of milk and flavored syrup with soda water
sulfur oxide;any of several oxides of sulphur
serine;a sweetish crystalline amino acid involved in the synthesis by the body of cysteine
collagen;a fibrous scleroprotein in bone and cartilage and tendon and other connective tissue. yields gelatin on boiling
tc;a crystalline metallic element not found in nature. occurs as one of the fission products of uranium
ribonucleic acid;a nucleic acid that transmits genetic information from dna to the cytoplasm. controls certain chemical processes in the cell
methacrylic acid;an unsaturated acid (c4h6o2) used to make resins and plastics
np;a radioactive transuranic metallic element. found in trace amounts in uranium ores. a by-product of the production of plutonium
dental amalgam;an alloy of metal with another metal (usually silver) used by dentists to fill cavities in teeth
alkali;any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water. 'bases include oxides and hydroxides of metals and ammonia'
jaggary;unrefined brown sugar made from palm sap
nitric acid;used especially in the production of fertilizers and explosives and rocket fuels
matter;that which has mass and occupies space. 'an atom is the smallest indivisible unit of matter'
ac;a radioactive element of the actinide series. found in uranium ores
nitre;(kno3) used especially as a fertilizer and explosive
steroid alcohol;any of a group of natural steroid alcohols derived from plants or animals. they are waxy insoluble substances
pb;a soft heavy toxic malleable metallic element. bluish white when freshly cut but tarnishes readily to dull gray. 'the children were playing with lead soldiers'
absolute alcohol;ethyl alcohol containing no more than 1% water
mo;a polyvalent metallic element that resembles chromium and tungsten in its properties. used to strengthen and harden steel
fm;a radioactive transuranic metallic element produced by bombarding plutonium with neutrons
alcohol;any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation
chemical compound;"(chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight"
f;a nonmetallic univalent element. usually a yellow irritating toxic flammable gas. a powerful oxidizing agent. recovered from fluorite or cryolite or fluorapatite
aluminium chloride;a chloride used as a wood preservative or catalyst
fizz;an effervescent beverage (usually alcoholic)
spiegel iron;pig iron containing manganese. used as a deoxidizing agent and to raise the manganese content in making steel
oil hardened steel;steel that is quenched in oil
rhenium;a rare heavy polyvalent metallic element that resembles manganese chemically and is used in some alloys. is obtained as a by-product in refining molybdenum
element;"any of the more than 100 known substances (of which 93 occur naturally) that cannot be separated into simpler substances and that singly or in combination constitute all matter"
plutonium;a highly fissionable isotope of plutonium that is used in atomic weapons and as a reactor fuel. produced by irradiating uranium 238 with slow electrons
burgundy wine;table wine from the burgundy region of france or any burgundy-type wine made elsewhere
chocolate milk;milk flavored with chocolate syrup
sauterne;semisweet golden-colored table or dessert wine from around bordeaux in france. similar wine from california
acetaldehyde;a colorless volatile water-soluble liquid aldehyde used chiefly in manufacture of acetic acid and perfumes and drugs
thyronine;a phenolic amino acid of which thyroxine is a derivative
stinger;made of creme de menthe and brandy
cofactor;a substance (as a coenzyme) that must join with another to produce a given result
denatured alcohol;ethyl alcohol that is unfit for drinking but is still useful for other purposes
antifreeze;a liquid added to the water in a cooling system to lower its freezing point
liquid oxygen;a bluish transparent magnetic liquid obtained by compressing gaseous oxygen. used as an oxidizer in rocket propellants
dichloroethyl sulfide;a toxic war gas that raises blisters and attacks the eyes and lungs
dioxide;an oxide containing two atoms of oxygen in the molecule
atomic number;a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal. occurs in argentite and in free form. used in coins and jewelry and tableware and photography
acetylcholine;a neurotransmitter that is a derivative of choline. released at the ends of nerve fibers in the somatic and parasympathetic nervous systems
hydrofluoric acid;a weak poisonous liquid acid. formed by solution of hydrogen fluoride in water
racemic acid;the optically inactive form of tartaric acid that is often found in grape juice
sodium cyanide;a white poisonous salt (nacn) used in electroplating
bottom;low-lying alluvial land near a river
evaporated milk;milk concentrated by evaporation
pepsi cola;pepsi_cola is a trademarked cola
oxalate;a salt or ester of oxalic acid
palmitin;an ester of glycerol and palmitic acid
motor oil;oil used to lubricate the moving parts of a motor
potassium hydroxide;a potassium compound often used in agriculture and industry
activated carbon;powdered or granular carbon used for purifying by adsorption. given orally (as a slurry) it is an antidote for some kinds of poisons
niter;(kno3) used especially as a fertilizer and explosive
zombi;several kinds of rum with fruit juice and usually apricot liqueur
fen;low-lying wet land with grassy vegetation. usually is a transition zone between land and water
alpha iron;a magnetic allotrope of iron. stable below 906 degrees centigrade
argonon;any of the chemically inert gaseous elements of the helium group (group 8a or 0 of the periodic table)
malt liquor;alcoholic beverage made with malt
margarita;tequila and triple sec with lime and lemon juice
glauber s salts;(na2so4.10h2o) a colorless salt used as a cathartic
soyabean oil;oil from soya beans
fossil oil;a dark oil consisting mainly of hydrocarbons
repellant;a chemical substance that repels
ornithine;an amino acid important in the formation of urea
tea;a beverage made by steeping tea leaves in water. 'iced tea is a cooling drink'
oxaloacetate;a salt or ester of oxalacetic acid
lutecium;a trivalent metallic element of the rare earth group. usually occurs in association with yttrium
whisky sour;a sour made with whiskey
sarsaparilla;carbonated drink flavored with an extract from sarsaparilla root or with birch oil and sassafras
octane;any isomeric saturated hydrocarbon found in petroleum and used as a fuel and solvent
manzanilla;very dry pale sherry from spain
blow gas;the gas leaving a generator during a blow period
animal starch;the form in which carbohydrate are stored
shale oil;oil extracted from oil shale by heating
lipid;any oily organic compound insoluble in water but soluble in organic solvents. essential structural component of living cells (along with proteins and carbohydrates)
basic iron;pig iron containing a high percentage of phosphorus. used in making steel by a process that removes the phosphorus
glycogen;the form in which carbohydrate are stored
pvc;a polymer of vinyl chloride used instead of rubber in electric cables
lipoprotein;a conjugated protein having a lipid component. the principal means for transporting lipids in the blood
soot;a black colloidal substance consisting wholly or principally of amorphous carbon and used to make pigments and ink
stachyose;a tetrasaccharide found in the tubers of the chinese artichoke
flint;a hard kind of stone. a form of silica more opaque than chalcedony
hafnium;a gray tetravalent metallic element that resembles zirconium chemically and is found in zirconium minerals. used in filaments for its ready emission of electrons
tool steel;alloy steel that is suitable for making tools. is hard a tough and can retain a cutting edge
maple sugar;sugar made from the sap of the sugar maple tree
dodecanoic acid;a crystalline fatty acid occuring as glycerides in natural fats and oils (especially coconut oil and palm-kernel oil)
atomic number;a common nonmetallic element that is normally a colorless odorless tasteless inert diatomic gas. constitutes 78 percent of the atmosphere by volume. a constituent of all living tissues
pm;a soft silvery metallic element of the rare earth group having no stable isotope. was discovered in radioactive form as a fission product of uranium
b;a trivalent metalloid element. occurs both in a hard black crystal and in the form of a yellow or brown powder
mv;a radioactive transuranic element synthesized by bombarding einsteinium with alpha particles
atomic number;a tetravalent nonmetallic element. next to oxygen it is the most abundant element in the earth's crust. occurs in clay and feldspar and granite and quartz and sand. used as a semiconductor in transistors
barium peroxide;a white toxic powder obtained by heating barium oxide in air
spice;aromatic substances of vegetable origin used as a preservative
negus;wine and hot water with sugar and lemon juice and nutmeg
rennet;a substance that curdles milk in making cheese and junket
keratin;a fibrous scleroprotein that occurs in the outer layer of the skin and in horny tissues such as hair feathers nails and hooves
unnilhexium;a transuranic element
land;"what plants grow in (especially with reference to its quality or use). 'the land had never been plowed'. 'good agricultural soil'"
kr;a colorless element that is one of the six inert gasses. occurs in trace amounts in air
scotch whisky;whiskey distilled in scotland. especially whiskey made from malted barley in a pot still
periodic acid;any oxygen-containing acid of iodine
2 hydroxybenzoic acid;a white crystalline substance with a bitter aftertaste. used as a fungicide or in making aspirin or dyes or perfumes
unnilseptium;a transuranic element that has not been found in nature
atomic number;a hard malleable ductile silvery metallic element that is resistant to corrosion. used in alloys. occurs in pentlandite and smaltite and garnierite and millerite
screwdriver;vodka and orange juice
tolu;aromatic yellowish brown balsam from the tolu balsam tree used especially in cough syrups
silicide;any of various compounds of silicon with a more electropositive element or radical
acetylsalicylic acid;an analgesic anti-inflammatory drug (trade names bayer and empirin) usually taken in tablet form. also used as an antipyretic
cu;a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element. occurs in various minerals but is the only metal that occurs abundantly in large masses. used as an electrical and thermal conductor
soda niter;(nano3) used especially as a fertilizer and explosive
polymeric amide;a polymer containing repeated amide groups
quagmire;a soft wet area of low-lying land that sinks underfoot
proof spirit;a mixture containing half alcohol by volume at 60 degrees fahrenheit
gas;a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum. used mainly as a fuel in internal-combustion engines
bagasse;the dry dusty pulp that remains after juice is extracted from sugar cane or similar plants
glyceric aldehyde;a sweet crystalline aldehyde formed by the breakdown of sugars
unnilquintium;a transuranic element that has not been found in nature
glycerol trimargarate;a glyceryl ester of margaric acid
caffeine;a bitter alkaloid found in coffee and tea that is responsible for their stimulating effects
linseed oil;a drying oil extracted from flax seed and used in making such things as oil paints
bearing brass;a brass bushing or a lining for a bearing
philtre;a drink credited with magical power. can make the one who takes it love the one who gave it
balm;any of various aromatic resinous substances used for healing and soothing
californium;a radioactive transuranic element. discovered by bombarding curium with alpha particles
holmium;a trivalent metallic element of the rare earth group. occurs together with yttrium. forms highly magnetic compounds
mint julep;bourbon and sugar and mint over crushed ice
oxalic acid;a toxic colorless crystalline organic acid found in oxalis and other plants. used as a bleach and rust remover and in chemical analysis
monosaccharose;a simple sugar (like sucrose or fructose) that does not hydrolyse to give other sugars. the simplest group of carbohydrates
amino acid;building block of proteins. containing an amino group and a carboxylic acid group
benzoate of soda;a white crystalline salt used as a food preservative and antiseptic
coal tar;a tar formed from distillation of bituminous coal. coal tar can be further distilled to give various aromatic compounds
asafetida;the gum resin of various plants. has strong taste and odor. formerly used as an antispasmodic
tallow;obtained from suet and used in making soap, candles and lubricants
rn;a radioactive gaseous element formed by the disintegration of radium. the heaviest of the inert gasses. occurs naturally (especially in areas over granite) and is considered a hazard to health
soil;"what plants grow in (especially with reference to its quality or use). 'the land had never been plowed'. 'good agricultural soil'"
bitter;(british) dry sharp-tasting ale with strong flavor of hops
peroxide;an inorganic compound containing the divalent ion -o-o-
java;a beverage consisting of an infusion of ground coffee beans. 'he ordered a cup of coffee'
seal oil;a pale yellow to red-brown fatty oil obtained from seal blubber. used in making soap and dressing leather and as a lubricant
albuminoid;a simple protein found in horny and cartilaginous tissues and in the lens of the eye
balsam capivi;an oleoresin used in varnishes and ointments
low carbon steel;steel with less than 0.15% carbon
propanamide;the amide of propionic acid (c2h5conh2)
nickel;a hard malleable ductile silvery metallic element that is resistant to corrosion. used in alloys. occurs in pentlandite and smaltite and garnierite and millerite
disaccharide;any of a variety of carbohydrates that yield two monosaccharide molecules on complete hydrolysis
potassium dichromate;an orange-red salt used in making dyes and in photography
soave;dry white italian wine from verona
carnauba wax;hard yellowish to brownish wax from leaves of the carnauba palm used especially in floor waxes and polishes
rhine wine;any of several white wines from the rhine river valley in germany ('hock' is british usage)
lithia water;mineral water containing lithium salts
bronze;an alloy of copper and tin and sometimes other elements. also any copper-base alloy containing other elements in place of tin
trimer;a polymer (or a molecule of a polymer) consisting of three identical monomers
lox;a bluish transparent magnetic liquid obtained by compressing gaseous oxygen. used as an oxidizer in rocket propellants
promethium;a soft silvery metallic element of the rare earth group having no stable isotope. was discovered in radioactive form as a fission product of uranium
azote;an obsolete name for nitrogen
zirconium;a lustrous gray strong metallic element resembling titanium. it is used in nuclear reactors as a neutron absorber. it occurs in baddeleyite but is obtained chiefly from zircon
putrescine;a colorless crystalline ptomaine with a foul odor that is produced in decaying animal matter
claret;dry red bordeaux or bordeaux-like wine
spirits;distilled rather than fermented
aminoalkane;a compound derived from ammonia by replacing hydrogen atoms by univalent hydrocarbon radicals
madeira;amber-colored dessert wine from madeira
hot work steel;an alloy steel that remains hard at a red heat. used to make metal-cutting tools
recombinant dna;genetically engineered dna made by recombining fragments of dna from different organisms
wool fat;a yellow viscous animal oil extracted from wool. a mixture of fatty acids and esters. used in some ointments and cosmetics
cardiac glycoside;obtained from a number of plants and used to stimulate the heart in cases of heart failure
tung oil;a yellow oil obtained from the seeds of the tung tree
isoleucine;an essential amino acid. isomeric with leucine
arsenous oxide;a white powdered poisonous trioxide of arsenic. used in manufacturing glass and as a pesticide and weed killer
pink lady;gin and brandy with lemon juice and grenadine shaken with an egg white and ice
oleic acid;a colorless oily liquid occurring as a glyceride in almost all natural fats. used in making soap and cosmetics and ointments and lubricating oils
gluten;a protein substance that remains when starch is removed from cereal grains. gives cohesiveness to dough
rickey;made of sweetened lime juice and soda water usually with liquor
serum globulin;globulins occurring blood serum and containing most of the antibodies of the blood
crude oil;a dark oil consisting mainly of hydrocarbons
calcium oxide;a white crystalline oxide used in the production of calcium hydroxide
co;a heavy odorless colorless gas formed during respiration and by the decomposition of organic substances. absorbed from the air by plants in photosynthesis
o;a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas. constitutes 28 percent of the atmosphere by volume. the most abundant element in the earth's crust
arsine;a poisonous colorless flammable gas used in organic synthesis and to dope transistors and as a poison gas in warfare
propenyl alcohol;an unsaturated primary alcohol present in wood spirit. use to make resins and plasticizers and pharmaceuticals
muscadet;dry white wine from the loire valley in france
potassium alum;a white crystalline double sulfate of aluminum: the potassium double sulfate of aluminum
undecylenic acid;an acid that is a component of perspiration
titanium dioxide;a white powder used as a pigment for its high covering power and durability
nickel steel;an alloy steel containing nickel
rye whiskey;distilled from rye or rye and malt
bayer;an analgesic anti-inflammatory drug (trade names bayer and empirin) usually taken in tablet form. also used as an antipyretic
copper base alloy;any alloy whose principal component is copper
silicon;a tetravalent nonmetallic element. next to oxygen it is the most abundant element in the earth's crust. occurs in clay and feldspar and granite and quartz and sand. used as a semiconductor in transistors
myeline;a white fatty substance that forms a medullary sheath around the axis cylinder of some nerve fibers
propene;a flammable gas obtained by cracking petroleum. used in organic synthesis
canada balsam;yellow transparent exudate of the balsam fir. used as a transparent cement in optical devices (especially in microscopy) and as a mounting medium
blended whiskey;mixture of two or more whiskeys or of a whiskey and neutral spirits
sarcosine;a sweetish crystalline amino acid
permanganic acid;an unstable purple acid (hmno4) known only in solution or of permanganate salts
butterfat;the fatty substance of milk from which butter is made
quicklime;a white crystalline oxide used in the production of calcium hydroxide
sodium nitrite;used to preserve and color food especially in meat and fish products. implicated in the formation of suspected carcinogens
california wine;any of various wines produced in california
aspartic acid;a crystalline amino acid occurring naturally in sugar beets and sugar cane
polyethylene;a lightweight thermoplastic. used especially in packaging and insulation
atomic number;a gray lustrous metallic element of the rare earth group. is used in special alloys. occurs in monazite and bastnasite
nucleic acid;any of various acids that are vital constituents of all living cells
dry vermouth;dry pale amber variety
old fashioned;whiskey bitters and sugar with fruit slices
camphor;a resin obtained from the camphor tree. used in making celluloid and liniment
uns;a transuranic element that has not been found in nature
atomic number;a white soft metallic element that tarnishes readily. occurs in rare earth minerals and is usually classified as a rare earth
hydrofluosilicic acid;an unstable poisonous corrosive acid know primarily in the form of its salts
benzol;a colorless liquid hydrocarbon. highly inflammable. carcinogenic
phosphor bronze;a corrosion-resistant bronze containing phosphorus. used in bearings and gears
mulled wine;wine heated with sugar and spices and often citrus fruit
cream of tartar;a salt used especially in baking powder
sulfonate;a salt of sulphonic acid
barium protoxide;an oxide of barium. a whitish toxic powder
curium;a radioactive transuranic metallic element. produced by bombarding plutonium with helium nuclei
alloy steel;steel who characteristics are determined by the addition of other elements in addition to carbon
epoxy resin;a thermosetting resin. used chiefly in strong adhesives and coatings and laminates
costus oil;a yellow volatile essential oil obtained from costusroot. used in perfumes
monoclonal antibody;any of a class of antibodies produced in the laboratory by identical offspring of a hybridoma. very specific for a particular location in the body
atomic number;a radioactive gaseous element formed by the disintegration of radium. the heaviest of the inert gasses. occurs naturally (especially in areas over granite) and is considered a hazard to health
immune serum globulin;a sterile solution of globulins that contains many antibodies normally present in adult human blood
atomic number;a trivalent metallic element of the rare earth group. forms compounds that are highly magnetic
cystine;a crystalline amino acid found in proteins (especially keratin). discovered in bladder stones
hydrogen carbonate;a salt of carbonic acid in which one hydrogen atom has been replaced. an acid carbonate
carbon tetrachloride;a colorless nonflammable liquid used as a solvent for fats and oils. because of its toxicity its use as a cleaning fluid or fire extinguisher has declined
akvavit;scandinavian liquor usually flavored with caraway seeds
pinot chardonnay;dry white chablis-type table wine made from chardonnay grapes
hydrogen chloride;a colorless corrosive gas: hcl
amontillado;pale medium-dry sherry from spain
dishwater;water in which dishes and cooking utensils are washed
hard lead;unrefined lead that is hard because of the impurities it contains
firestone;a piece of flint that is struck to light a fire
drying oil;an oil that hardens in air due to oxidation and is often used as a paint or varnish base
tillage;land that is worked by plowing and sowing and raising crops
benzoic acid;a white crystalline solid occurring in many resins
atomic number;a short-lived radioactive metallic element formed from uranium and disintegrating into actinium and then into lead
